ID,HIT_ID,RANDOM,CONTEXT,TRANSLATED,LANGUAGE,SENTENCE,REAL_TOPIC,FALSE_TOPIC1,FALSE_TOPIC2,FALSE_TOPIC3,GOLD_TOPIC_WORDS
7547,1,0,"al-qaeda is sunni, and often attacked the iraqi shia majority in an attempt to incite sectarian violence and greater chaos in the country.	al-zarqawi purportedly declared an all-out war on shiites while claiming responsibility for shiite mosque bombings.	the same month, a statement claiming to be by aqi rejected as ""fake"" a letter allegedly written by al-zawahiri, in which he appears to question the insurgents' tactic of indiscriminately attacking shiites in iraq.",1,fr,"in a december 2007 video, al-zawahiri defended the Islamic State iraq, but rejected the attacks against civilians committed by 'hypocrites and traitors existing between the ranks. ""","forces,war,government,shah,army","acid,carbon,metal,alkali,water","film,published,book,story,series","acupuncture,medical,treatment,health,common","forces,war,government,shah,army,ali,political,military,support,led,court,law,aclu,legal,act,rights,supreme,public,government,case,roman,antony,octavian,rome,augustus,agrippina,caesar,alexander,wife,marriage"
14742,1,0,wellacre academy stands in grounds which contain eleven hectares of playing fields including an all weather cricket pitch.	a full sized artificial pitch with floodlighting was completed in spring 2005.	it possesses two modern gymnasia each with a separate suite of showers and changing rooms.,1,fr,its multi-gym has a wide range of a modern equipment installed.,"building,built,house,buildings,site","born,family,she,married,father","group,numbers,members,order,public","magnitude,star,alpha,earth,stars","building,built,house,buildings,site,church,original,hall,construction,century,bell,power,pressure,sound,design,air,designed,signal,speed,missile,team,played,season,league,football,game,games,teams,club,season,"
2263,1,0,"the city has been at times marked by ethnic tension.	in 2004 film director theo van gogh was murdered by mohammed bouyeri in amsterdam.	among others, in line with attitude changes in dutch politics towards certain (especially islamic) minorities turkish-language and arabic-language tv channels have been dropped from the basic cable tv package.",1,cs,"in recent years, politicians actively discourage against campaign in minority languages.","population,age,women,jews,ainu","algebraic,set,mathematical,function,point","development,government,public,national,local","side,white,bow,iron,back","population,age,women,jews,ainu,children,abortion,total,rate,jewish,park,centre,adelaide,amsterdam,aarhus,largest,located,local,aberdeen,home,san,los,john,york,president,u.s.,held,january,petraeus,director"
7534,1,0,but there was no organization.	these were militants who mostly planned their own operations and looked to bin laden for funding and assistance.	he was not their commander.,1,de,"there is no proof that bin laden 'al-qaeda' on behalf of a group until after the attacks of 11 september, when he said that the concept of the americans.","forces,war,government,shah,army","company,apple,game,sold,released","bell,power,pressure,sound,design","example,,player,change,difficult,if","forces,war,government,shah,army,ali,political,military,support,led,group,numbers,members,order,public,aa,wore,test,committee,number,human,person,moral,social,good,physical,believed,body,experience,order"
12388,1,0,"the department of desalination was established on 1995 by riyad hassan el-khoudary.	the water research center is an independent non-government palestinian institution.	in the late 1990s, the university opened a school of medicine in collaboration with abu-dis university in jerusalem.",1,cs,universities is known for its prestige programme pharmacies.,"school,university,students,college,schools","energy,atomic,electron,atoms,electrons","film,album,released,song,show","river,sea,north,water,southern","school,university,students,college,schools,education,state,research,student,institute,film,published,book,story,series,wrote,films,character,written,books,oil,production,agricultural,industrial,industry,agriculture,largest,increased,economy,produced"
5089,1,0,a modest turkish farming village (dilekkaya) lies to the southwest of the ancient city.	a small outdoor museum with some of the artifacts collected in the area can be viewed for a small fee.	also nearby are some beautiful mosaics discovered in a farmers field.,1,de,if the museum for consideration.,"park,centre,adelaide,amsterdam,aarhus","group,numbers,members,order,public","french,german,war,crowley,de","king,de,son,andrew,ii","park,centre,adelaide,amsterdam,aarhus,largest,located,local,aberdeen,home,ancient,greek,temple,god,century,apollo,roman,egyptian,according,modern,village,district,north,parish,town,river,road,west,east,county"
7892,1,0,"the second moonwalk, or eva, was intended to reach the rim of the wide cone crater.	however, the two astronauts were not able to find the rim amid the rolling terrain of the crater's slopes.	they became physically exhausted from the attempt and with their suits' oxygen supplies starting to run low, the effort was called off.",0,en,"later analysis, using the pictures that they took, determined that they had come within an estimated of the crater's rim.","i,back,died,death,told","lincoln,johnson,states,war,congress","village,district,north,parish,town","party,national,council,government,election","i,back,died,death,told,asked,put,days,decided,brought,apollo,lunar,crew,module,mission,spacecraft,space,landing,command,launch,audi,abu,ibn,car,race,cars,racing,bakr,series,engine"
9808,1,0,"edwin j. ""ted"" bounsall (born november 6, 1935) is a former canadian in ontario, canada.	he was a ndp member of the legislative assembly of ontario from 1971 to 1981.	he represented the ridings of windsor west from 1971 to 1975 and windsor—sandwich from 1975 to 1981.",1,es,it has served under the leadership of stephen lewis and mr cassidy.,"born,family,she,married,father","i,back,died,death,told","forces,war,government,shah,army","population,age,women,jews,ainu","born,family,she,married,father,son,died,age,mother,moved,party,national,council,government,election,elected,president,members,member,general,lincoln,johnson,states,war,congress,jackson,union,president,confederate,arkansas"
3571,1,0,"most people who have an uncomplicated skin abscess should not use antibiotics.	antibiotics in addition to standard incision and drainage is recommended in persons with severe abscesses, many sites of infection, rapid disease progression, the presence of cellulitis, symptoms indicating bacterial illness throughout the body, or a health condition causing immunosuppression.	people who are very young or very old may also need antibiotics.",0,en,"if the abscess does not heal only with incision and drainage, or if the abscess is in a place that is difficult to drain such as the face, hands, or genitals, then antibiotics may be indicated.","acupuncture,medical,treatment,health,common","court,law,aclu,legal,act","lincoln,johnson,states,war,congress","king,de,son,andrew,ii","acupuncture,medical,treatment,health,common,blood,research,alternative,patients,autism,acid,carbon,metal,alkali,water,aluminium,hydrogen,ammonia,metals,compounds,tropical,storm,typhoon,mph,depression,winds,august,km/h),continued,weakened"
13907,1,0,"he settled in ireland about the close of the reign of queen elizabeth i, being a commissioner of plantations, and obtained very considerable territorial grants from the crown.	in 1602, parsons as surveyor general of ireland; in 1610 he obtained a pension of £30 (english) per annum for life.	in 1611, he was joined with his younger brother laurence in the supervisorship of the crown lands, with a fee of £60 per annum for life.",1,es,your proposal for a court of rooms in ireland was accepted and became its first master.,"born,family,she,married,father","example,,player,change,difficult,if","station,air,aircraft,service,flight","forces,war,government,shah,army","born,family,she,married,father,son,died,age,mother,moved,king,de,son,andrew,ii,alexios,iii,royal,emperor,alfonso,party,national,council,government,election,elected,president,members,member,general"
12889,2,0,"harry chiti (pronounced ) (november 16, 1932 – january 31, 2002) was an american catcher in major league baseball.	from 1950 through 1962, he played for the chicago cubs, kansas city athletics, detroit tigers and new york mets.	chiti batted and threw right-handed.",0,en,he was the father of major league coach dom chiti.,"team,played,season,league,football","won,team,agassi,championship,final","energy,atomic,electron,atoms,electrons","species,animals,amphibians,similar,bones","team,played,season,league,football,game,games,teams,club,season,,san,los,john,york,president,u.s.,held,january,petraeus,director,king,de,son,andrew,ii,alexios,iii,royal,emperor,alfonso"
6421,2,0,"alfred was still forced to contend with a number of danish threats.	a year later in 881 alfred fought a small sea battle against four danish ships ""on the high seas"".	two of the ships were destroyed and the others surrendered to alfred's forces.",1,es,such a small clashes with independent viking raiders would have happened during much of the period had for decades.,"army,military,battle,forces,force","music,play,musical,band,plays","roman,antony,octavian,rome,augustus","station,air,aircraft,service,flight","army,military,battle,forces,force,war,ships,attack,ship,men,theory,social,works,century,modern,political,history,scientific,wrote,natural,king,de,son,andrew,ii,alexios,iii,royal,emperor,alfonso"
9489,2,0,"the single ""wait"" went no. 	1 in some asian countries	, however that was the main area of the album's success, the grunge invasion causing the american european markets to be nearly closed to straight-ahead hard rock.",0,en,original member james ward joined steelheart on the tour supporting the album.,"film,album,released,song,show","village,district,north,parish,town","species,forest,park,common,national","river,sea,north,water,southern","film,album,released,song,show,television,band,music,recorded,played,katie,she,tells,her.,back,takes,andy,him.,begins,robert,de,spanish,european,countries,north,east,india,chinese,portuguese,west"
13621,2,0,combined authorities consist of two or more contiguous english local government areas.	the creation of a combined authority is voluntary and all local authorities within the area must give their consent before it can be created.	the local authority of any district of england outside greater london can join a combined authority and a county council can become part of a combined authority even if only some of the non-metropolitan districts that make up the county are within the combined authority area.,1,de,a local authority only belong to a common authority.,"development,government,public,national,local","example,,player,change,difficult,if","music,play,musical,band,plays","party,national,council,government,election","development,government,public,national,local,million,economic,international,financial,land,village,district,north,parish,town,river,road,west,east,county,court,law,aclu,legal,act,rights,supreme,public,government,case"
2768,2,0,"by the naturalisation act 1870, it was made possible for british subjects to renounce their nationality and allegiance, and the ways in which that nationality is lost are defined.	so british subjects voluntarily naturalized in a foreign state are deemed aliens from the time of such naturalization, unless, in the case of persons naturalized before the passing of the act, they have declared their desire to remain british subjects within two years from the passing of the act.	persons who from having been born within british territory are british subjects, but who at birth became under the law of any foreign state subjects of such state, and also persons who though born abroad are british subjects by reason of parentage, may by declarations of alienage get rid of british nationality.",1,cs,"emigration to the uncivilized country leaves intact the british nationality: a right for all states to deal with their authority their issues, so that emigration is one of the usual and recognised by colonial enlargement.","court,law,aclu,legal,act","building,built,house,buildings,site","population,age,women,jews,ainu","oil,production,agricultural,industrial,industry","court,law,aclu,legal,act,rights,supreme,public,government,case,group,numbers,members,order,public,aa,wore,test,committee,number,de,spanish,european,countries,north,east,india,chinese,portuguese,west"
12056,2,0,"after graduating he worked as a nursery gardener, bricklayer and petrol pump attendant during the day, studying and conducting amateur orchestras and choirs in the evening.	he then became sir adrian boult's pupil.	during their first meeting he ""was put through the worst two hours of counterpoint and harmony that i've ever faced"" and was then asked how he would conduct a page of a score that boult put in front of him, sir arnold bax's third symphony, which handley happened to have studied.",1,de,"later handley, in the first concert in london, the symphony orchestra of morley college.","i,back,died,death,told","apollo,lunar,crew,module,mission","species,forest,park,common,national","oil,production,agricultural,industrial,industry","i,back,died,death,told,asked,put,days,decided,brought,music,play,musical,band,plays,performed,jazz,theatre,rock,music,,school,university,students,college,schools,education,state,research,student,institute"
9708,2,0,"ah lian () is a pejorative term applied to a certain group of ethnic chinese girls in southeast asia, especially singapore.	these chinese girls, in their teens and twenties, are usually found in larger cities in the region.	ah lians are regarded as bimbos, and are stereotyped as anti-intellectual, superficial, materialistic, and shallow.",1,es,"it is the turbulent equivalent of the british ""essex girl 'or' chav 'stereotypes.","side,white,bow,iron,back","tropical,storm,typhoon,mph,depression","acid,carbon,metal,alkali,water","apollo,lunar,crew,module,mission","side,white,bow,iron,back,weight,red,steel,black,cast,de,spanish,european,countries,north,east,india,chinese,portuguese,west,language,word,english,term,arabic,languages,words,meaning,written,spoken"
7637,2,0,"most republican strength traditionally lied mainly in the northwestern part of the state, particularly fort smith and bentonville, as well as north central arkansas around the mountain home area.	in the latter area, republicans have been known to get 90 percent or more of the vote, while the rest of the state was more democratic.	after 2010, republican strength expanded further to the northeast and southwest and into the little rock suburbs.",1,cs,"democrats are mostly concentrated on central little rock, mississippi delta, pine a sham, and the areas to the south of the border with louisiana.","river,sea,north,water,southern","park,centre,adelaide,amsterdam,aarhus","company,apple,game,sold,released","forces,war,government,shah,army","river,sea,north,water,southern,region,land,areas,south,northern,lincoln,johnson,states,war,congress,jackson,union,president,confederate,arkansas,acid,carbon,metal,alkali,water,aluminium,hydrogen,ammonia,metals,compounds"
1242,2,0,the center and the peripheries were mostly kept separated by mountains and deserts.	the caucasus and himalaya mountains and the karakum and gobi	deserts formed barriers that the steppe horsemen could cross only with difficulty.,1,fr,"while the urban towns were more technologically advanced and socially, in many cases, they could do little to a military aspect to defend against the rise of hordes of the steppe.","river,sea,north,water,southern","army,military,battle,forces,force","development,government,public,national,local","lincoln,johnson,states,war,congress","river,sea,north,water,southern,region,land,areas,south,northern,bell,power,pressure,sound,design,air,designed,signal,speed,missile,empire,alexander,century,king,bc,,battle,assyrian,persian,war,bc"
7170,2,0,"the next three years augustin-louis was mainly on unpaid sick leave, and spent his time quite fruitfully, working on mathematics (on the related topics of symmetric functions, the symmetric group and the theory of higher-order algebraic equations).	he attempted admission to the first class of the institut de france but failed on three different occasions between 1813 and 1815.	in 1815 napoleon was defeated at waterloo, and the newly installed bourbon king louis xviii took the restoration in hand.",1,fr,"the Academy of Sciences was re-established in motion 1816. lazare carnot and gaspard monge were removed from this college for political reasons, and the King appointed cauchy to take the place of one of them.","french,german,war,crowley,de","film,album,released,song,show","company,apple,game,sold,released","forces,war,government,shah,army","french,german,war,crowley,de,speer,published,soviet,germany,awarded,algebraic,set,mathematical,function,point,choice,real,numbers,defined,theory,i,back,died,death,told,asked,put,days,decided,brought"
13041,3,0,"the charges included three counts of misdemeanor assault, five of contributing to the delinquency of a minor and two of indecent exposure.	the number of counts was reduced to seven when one of the victims died.	a lengthy appellate process ensued when fushek's lawyers argued that he was entitled to a jury trial on the remaining counts as opposed to one or more bench trials.",0,en,the supreme court of arizona upheld the argument.,"court,law,aclu,legal,act","example,,player,change,difficult,if","empire,alexander,century,king,bc,","won,team,agassi,championship,final","court,law,aclu,legal,act,rights,supreme,public,government,case,san,los,john,york,president,u.s.,held,january,petraeus,director,church,catholic,christian,religious,roman,anglican,god,st.,churches,church,"
9876,3,0,"gamboa's extracurricular activities were not, however, limited to politics.	already a developing artist, it was at garfield high that gamboa met gronk (glugio nicandro), patssi valdez (then known as patsy), and willie herrón, three of his closest associates in his later career.	after the ""blowouts"" of his senior year, gamboa dropped out of the political scene to dedicate himself to his education.",1,fr,"through these efforts and with the aid of equal opportunities programme (eop) for the disadvantaged minority students, gamboa has been california state university during angeles.","school,university,students,college,schools","party,national,council,government,election","acid,carbon,metal,alkali,water","development,government,public,national,local","school,university,students,college,schools,education,state,research,student,institute,theory,social,works,century,modern,political,history,scientific,wrote,natural,example,,player,change,difficult,if,make,generally,higher,main,result"
10844,3,0,"this led to his subsequent release and the eagles' signing of reno mahe.	however, he was re-signed within weeks to back up injured all-pro safety brian dawkins.	reed has since returned to the eagles' special teams and has resumed his role of kick returner.",1,de,"in a week 12 game against the new england patriots, reed mentioned the describe as the security position if sean considine and quintin mikell not because of violations.","team,played,season,league,football","ancient,greek,temple,god,century","energy,atomic,electron,atoms,electrons","born,family,she,married,father","team,played,season,league,football,game,games,teams,club,season,,film,published,book,story,series,wrote,films,character,written,books,group,numbers,members,order,public,aa,wore,test,committee,number"
2289,3,0,"the city of amsterdam is a municipality under the dutch municipalities act.	it is governed by a directly elected municipal council, a municipal executive board and a mayor.	since 1981, the municipality of amsterdam has gradually been divided into semi-autonomous boroughs, called ""stadsdelen"" or 'districts'.",1,es,"at the time, a total of 15 municipalities have created.","park,centre,adelaide,amsterdam,aarhus","church,catholic,christian,religious,roman","apollo,lunar,crew,module,mission","empire,alexander,century,king,bc,","park,centre,adelaide,amsterdam,aarhus,largest,located,local,aberdeen,home,village,district,north,parish,town,river,road,west,east,county,party,national,council,government,election,elected,president,members,member,general"
3349,3,0,"any information may be conveyed by an analog signal; often such a signal is a measured response to changes in physical phenomena, such as sound, light, temperature, position, or pressure.	the physical variable is converted to an analog signal by a transducer.	for example, in sound recording, fluctuations in air pressure (that is to say, sound) strike the diaphragm of a microphone which induces corresponding fluctuations in the current produced by a coil in an electromagnetic microphone, or the voltage produced by a condensor microphone.",1,de,the tension or the current was a 'analogue' of the sound.,"bell,power,pressure,sound,design","theory,social,works,century,modern","party,national,council,government,election","church,catholic,christian,religious,roman","bell,power,pressure,sound,design,air,designed,signal,speed,missile,energy,atomic,electron,atoms,electrons,mass,nuclear,alpha,atom,element,side,white,bow,iron,back,weight,red,steel,black,cast"
1477,3,0,"einstein's views about religious belief have been collected from interviews and original writings.	he called himself an agnostic, while disassociating himself from the label atheist.	he said he believed in the ""pantheistic"" god of baruch spinoza, but not in a personal god, a belief he criticized.",0,en,"einstein once wrote: ""i do not believe in a personal god and i have never denied this but expressed it clearly"".","church,catholic,christian,religious,roman","population,age,women,jews,ainu","computer,code,systems,data,language","acid,carbon,metal,alkali,water","church,catholic,christian,religious,roman,anglican,god,st.,churches,church,,human,person,moral,social,good,physical,believed,body,experience,order,film,album,released,song,show,television,band,music,recorded,played"
3184,3,0,"a study of six children with adem (mean age at presentation 7.7 years) were tested for a range of neurocognitive tests after an average of 3.5 years of recovery.	all six children performed in the normal range on most tests, including verbal iq and performance iq, but performed at least one standard deviation below age norms in at least one cognitive domain, such as complex attention (one child), short-term memory (one child) and internalizing behaviour/affect (two children).	group means for each cognitive domain were all within one standard deviation of age norms, demonstrating that, as a group, they were normal.",1,es,these deficits were less serious than the seen similar of children with a diagnosis multiple sclerosis.,"acupuncture,medical,treatment,health,common","forces,war,government,shah,army","side,white,bow,iron,back","oil,production,agricultural,industrial,industry","acupuncture,medical,treatment,health,common,blood,research,alternative,patients,autism,human,person,moral,social,good,physical,believed,body,experience,order,group,numbers,members,order,public,aa,wore,test,committee,number"
88,3,0,"the new 1901 constitution of alabama included provisions for voter registration that effectively disenfranchised large portions of the population, including nearly all african americans and native americans, and tens of thousands of poor whites, through making voter registration difficult, requiring a poll taxes and literacy test.	by 1903, only 2,980 african americans were registered in alabama, although at least 74,000 were literate.	this compared to more than 181,000 african americans eligible to vote in 1900.",1,fr,the figures were reduced even more after decades.,"lincoln,johnson,states,war,congress","court,law,aclu,legal,act","audi,abu,ibn,car,race","king,de,son,andrew,ii","lincoln,johnson,states,war,congress,jackson,union,president,confederate,arkansas,population,age,women,jews,ainu,children,abortion,total,rate,jewish,party,national,council,government,election,elected,president,members,member,general"
9997,3,0,"the teams faced each other in a tournament final for the vacant tag team championship, which the kangaroos won.	the following year, the stomper and justice regained the title belts by defeating the kangaroos.	they held the belts for five months, and the stomper had one last reign as champion when he teamed with bobo brazil to win the title for the third time on july 21, 1973.",1,cs,"it is, after all, desist from belts for the ben justice and his new partner, murderer brooks.","won,team,agassi,championship,final","forces,war,government,shah,army","french,german,war,crowley,de","court,law,aclu,legal,act","won,team,agassi,championship,final,win,champion,winning,match,gold,san,los,john,york,president,u.s.,held,january,petraeus,director,de,spanish,european,countries,north,east,india,chinese,portuguese,west"
7536,3,0,"there were selective portions of al-fadl's testimony that i believe was false, to help support the picture that he helped the americans join together.	i think he lied in a number of specific testimony about a unified image of what this organization was.	it made al-qaeda the new mafia or the new communists.",1,cs,"this is described as a group, and it was therefore easier to prosecute any person associated with al-qaeda for all the acts or statements bin laden.","i,back,died,death,told","energy,atomic,electron,atoms,electrons","art,works,museum,style,artists","apollo,lunar,crew,module,mission","i,back,died,death,told,asked,put,days,decided,brought,court,law,aclu,legal,act,rights,supreme,public,government,case,forces,war,government,shah,army,ali,political,military,support,led"
11413,4,0,the in kurashiki was the first collection of western art to be permanently exhibited in japan.	the museum opened in 1930 and originally consisted almost entirely of french paintings and sculptures of the 19th and 20th centuries.	the collection has now expanded to include paintings of the italian renaissance and of the dutch and flemish 17th century.,1,de,"well-known american and italian artists in the 20th century, also in the collection.","art,works,museum,style,artists","katie,she,tells,her.,back","born,family,she,married,father","group,numbers,members,order,public","art,works,museum,style,artists,rodin,anime,de,sculpture,warhol,de,spanish,european,countries,north,east,india,chinese,portuguese,west,company,apple,game,sold,released,million,software,aol,announced,amiga"
6301,4,0,"trumbull met several times with johnson, and was convinced the president would sign the measures (johnson rarely contradicted visitors, often fooling those who met with him into thinking he was in accord).	in fact, the president opposed both bills as infringements on state sovereignty.	additionally, both of trumbull's bills were unpopular among white southerners, whom johnson hoped to include in his new party.",1,cs,"johnson efsa with freedman presidency law in february 18, 1866, to the delight of the white south and started anger republican legislators.","lincoln,johnson,states,war,congress","company,apple,game,sold,released","church,catholic,christian,religious,roman","group,numbers,members,order,public","lincoln,johnson,states,war,congress,jackson,union,president,confederate,arkansas,party,national,council,government,election,elected,president,members,member,general,i,back,died,death,told,asked,put,days,decided,brought"
1173,4,0,"during 1975, tarkovsky also worked on the screenplay ""hoffmanniana"", about the german writer and poet e. t. a. hoffmann.	in december 1976, he directed ""hamlet"", his only stage play, at the lenkom theatre in moscow.	the main role was played by anatoly solonitsyn, who also acted in several of tarkovsky's films.",1,fr,"at the end of 1978, it has also written writing 'sardor' with the writer aleksandr misharin.","film,published,book,story,series","king,de,son,andrew,ii","oil,production,agricultural,industrial,industry","acupuncture,medical,treatment,health,common","film,published,book,story,series,wrote,films,character,written,books,san,los,john,york,president,u.s.,held,january,petraeus,director,music,play,musical,band,plays,performed,jazz,theatre,rock,music,"
9162,4,0,"after syd and yolanda split up, chloe begins flirting with him.	syd, however, is unsure about having an affair with chloe again and rejects her initially.	she later performs a lap dance for syd.",0,en,"he arrives at home farm, while she was looking after scott and zoe's daughter, jean (megan pearson), and they get passionate on the sofa, leaving jean unattended.","katie,she,tells,her.,back","river,sea,north,water,southern","development,government,public,national,local","party,national,council,government,election","katie,she,tells,her.,back,takes,andy,him.,begins,robert,french,german,war,crowley,de,speer,published,soviet,germany,awarded,king,de,son,andrew,ii,alexios,iii,royal,emperor,alfonso"
5727,4,0,"felix hoffmann, a chemist at bayer, is credited with the synthesis of aspirin in 1897, though whether this was of his own initiative or under the direction of arthur eichengrün is controversial.	aspirin is one of the most widely used medications in the world with an estimated 40,000 tonnes of it being consumed each year.	in countries where ""aspirin"" is a registered trademark owned by bayer, the generic term is acetylsalicylic acid (asa).",1,cs,"this is who model list of essential medicines, the medicines needed to basic health system.","species,forest,park,common,national","human,person,moral,social,good","park,centre,adelaide,amsterdam,aarhus","tropical,storm,typhoon,mph,depression","species,forest,park,common,national,plant,food,abalone,tree,amber,acupuncture,medical,treatment,health,common,blood,research,alternative,patients,autism,acid,carbon,metal,alkali,water,aluminium,hydrogen,ammonia,metals,compounds"
