ID,translated,source-language,sentence,context,full-ratings,mean-ratings
12388,1,cs,universities is known for its prestige programme pharmacies.,,"2,3,3,3,3,2,1,3,1,1,3,3,2,3,2,2,1",2.235294117647059
1242,1,fr,"while the urban towns were more technologically advanced and socially, in many cases, they could do little to a military aspect to defend against the rise of hordes of the steppe.",,"3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,2,2",3.0
12458,1,de,"the use of egyptologists controversial, but the situation of these reservoirs under the sun, proposes ritual practices which shed some light on the role of this monument.",,"1,2,3,2,3,3,3,3,3,1,3,4,3,2,2",2.533333333333333
12627,1,de,"he complained to church but not spent, and their time helmets, drinking water, singing and dancing, after pagan rituals.",,"1,1,1,1,1,1,1,1,1,1,1,1,1,1.0",1.0
12658,1,de,"on 22 november 545, pope vigilius celebrated the feast of the holy in the church, if the emissary of empress theodora, anthemius scribo, arrested.",,"2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1",1.375
12703,1,es,"when katie discovers declan had ceased its horses of the stables and on the people who get gordon adam help round of new and apology for the use of him, but its forgives and shows that do not mind as he has drawn to it.",,"2,1,1,1,2,1,1,3,1,2,1,3",1.5833333333333333
12889,0,en,he was the father of major league coach dom chiti.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
12895,1,cs,cohesion is thought bernays indicate that the existence of measurable cardinal.,,"3,2,1,1,1,1,2,3,2,1,1,1,1,2,3,2,3,1,1",1.6842105263157894
1290,1,de,"although the historian, in general, of the opinion that the article too weak, the fast-growing nation, you, the solution to the question of how the member states voluntarily in your country national control.",,"1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1",1.1176470588235294
12957,0,en,"the powers whiskey sponsorship is backed up by the irish branch of pernod ricard, a sponsorship existing since 1960 and the longest sponsorship in irish racing.",,"3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4",3.823529411764706
12981,1,de,"jelly roll morton also said, written level, based on the jazzed version of the old french quadrille.",,"2,1,2,1,2,1,2,3,1,1,2,1,3,1,2,2,1",1.6470588235294117
13021,1,es,now serves as john franklin science centre.,,"4,4,3,3,2,3,1,1,4,4,3,3,4,4,3,2,1,2",2.8333333333333335
13041,0,en,the supreme court of arizona upheld the argument.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13043,1,de,this j. j. winckelmann tucked away.,,"4,3,1,1,3,3,3,2,2,1,1,1,4,2,2,1,3",2.176470588235294
13084,1,es,"maui survives the volcano and the islanders send through the 'test maui duckhood', that is, to win the confidence of the native people.",,"3,3,2,4,3,2,2,3,4,3,1,2,3,1,3,2,3",2.588235294117647
13128,0,en,they are the largest youth employer in kugluktuk.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13167,1,es,"mathis played with aeroplanes until 1994, starting with two games and make four touchdowns total.",,"3,4,3,2,3,1,2,1,1,1,2,2,2,2,3,1,4,4",2.2777777777777777
13188,1,es,asch worked as director of the cva until his death in 1994.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13310,1,es,the district lies in the southwestern corner of madhya pradesh; the narmada river forms its northern border.,,"4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3",3.789473684210526
13390,1,fr,following the reorganisation of the States on 1 november 1956,,"4,4,2,4,4,4,2,3,3,4,3,4,4,3,4,2,4",3.411764705882353
13403,0,en,the most common language is malvi (rajasthani and hindi mixed).,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13423,1,fr,the region is part of ujjain division.,,"4,4,3,3,3,4,4,3,3,4,3,4,4,4,3,4,4,3",3.5555555555555554
13482,1,es,pluralism is quite inaccurate and is in fact only one building.,,"4,4,3,3,4,4,3,3,1,2,1,1,1,3,4,2,3,4",2.7777777777777777
13541,1,cs,"the divisional level, divisional the development committee chaired by the prefect and violated mayors, representatives and private individuals.",,"1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1",1.1875
13621,1,de,a local authority only belong to a common authority.,,"4,4,3,3,3,3,1,2,3,1,2,3,3,3,2,3,2,1,2",2.526315789473684
13716,1,cs,this leads to gemmler retroactive payments.,,"4,4,3,2,2,4,4,3,2,1,1,3,2,4,4,3",2.875
13907,1,es,your proposal for a court of rooms in ireland was accepted and became its first master.,,"4,2,4,4,2,3,2,2,1,2,3,3,3,4,3,4,2",2.823529411764706
14000,1,es,this work has been subject to speak in the seminar bourbaki.,,"3,3,3,4,2,2,2,3,3,1,2,1,2,4,2,2,2",2.411764705882353
14034,1,de,the hairy-eared dwarf lemur ('allocebus trichotis') was only five museum specimens known in the late nineteenth century and 1965.,,"4,3,4,4,2,3,2,3,3,2,3,2,3,3,4,4,4",3.1176470588235294
14066,0,en,"in the same year, his mother and his wife, berenguela (berengaria), witnessed its foundation charter.",,"4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3",3.6470588235294117
14088,1,de,"however, it was claimed that the office is named for col. henry.",,"4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,3.0",3.6470588235294117
14093,0,en,the area includes land enclosed by sea dikes with fringing marshes.,,"4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4",3.8
14126,1,cs,"then contribute to its vocals' fair lady ', one of the tracks in the lee seung-hwan the 20th anniversary of the hwantastic album' friends'.",,"2,2,4,2,1,2,3,3,1,1,1,1,1,2,4,4,4,2",2.2222222222222223
1413,1,de,"calgary, a 56% a white christmas, while edmonton has an 86%.",,"2,2,1,1,1,2,3,1,3,1,2,2,1,3,1,2,3,1",1.7777777777777777
14160,0,en,"the semi-arid coastal areas of southern vietnam are the most arid in vietnam, so the vegetation also has high value as a source of germ plasm for restoring other areas that become drier or are affected by sea level rises due to climate change.",,"4,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,3",3.611111111111111
14250,1,fr,"agesander of rhodes, with two other rhodian sculptors, shared the famous' group laocoön ', vatican museums and the sculptures rediscovered to sperlonga in the villa of tiberius, probably at the beginning of the period imperial.",,"3,3,2,3,2,2,2,3,3,1,1,3,2,1,2,1",2.125
14279,1,cs,"there are significant differences in the number of suicides, year after year, between the indian cities.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
14290,1,es,it was also a member of the council of 1993 to 1995 and other councils at local and regional level.,,"4,3,4,3,4,3,3,4,3,3,4,4,3,4,4,4",3.5625
14299,1,fr,"in january 2010 choi concluded with a new agency mcloud entertainment and has announced plans on the march 2 to resume activities in the first half of the year, but its approach to return to his stress and increasingly frustrated that it had not throw itself into any tv series.",,"2,3,2,3,2,1,2,3,1,1,3,2,1,2,3,2,2",2.0588235294117645
14332,1,de,"its implementation will lead to further overloading of the social and psychological staff (and, together with the cf. administration), the amount of work already, as the main objective of this service “voluntary-compulsory ” associations of convicted, based on common interests, to resolve the everyday problems through self-governance.",,"2,4,2,2,2,2,4,3,1,4,3,2,1,1,4,4,2,4",2.611111111111111
14351,1,es,"and, to judge by the information provided by the release spsu, the agency does not intend to comply cpc of ukraine in relation to the decision of the court.",,"3,4,2,3,3,3,3,4,2,3,1,1,3,1,4,4,2",2.7058823529411766
14391,0,en,"in 2010, they had a sold-out run in london, england where they became the highest-selling act ever to play the soho theatre.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
14424,1,cs,"they are two eggs, and dragons is adopted.",,"2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2",1.375
14455,1,es,"lord elwyn-jones also expressed that if a crime could be undertaken recklessly, was one of the intentions.",,"1,4,3,3,3,2,3,3,3,1,3,3,1,1,4,4,1,4",2.611111111111111
14470,1,de,"he said that the stairs and lifting ""orbit 'less more clearly than the previous kapoor function successfully, but ultimately he said' difficult to see what the big idea, the idea of a great thing. '",,"2,2,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1",1.411764705882353
14478,0,en,"the romanesque house at 166 has a finely detailed corbelled brick cornice with its date of construction, 1883, in cast iron letters below.",,"4,4,4,3,4,4,3,4,4,4,4,4,4,4,4",3.8666666666666667
14546,1,fr,"hermann begemann was captured by Soviet troops after the battle of stalingrad, it has been up in 1948.",,"3,3,3,3,2,3,3,2,2,3,2,2,3,4,2,3,3",2.7058823529411766
14634,0,en,"he was transferred back to the infantry for two years from 1893, before returning to the ecole.",,"4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,3",3.6470588235294117
14742,1,fr,its multi-gym has a wide range of a modern equipment installed.,,"4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4",3.8125
14753,0,en,"and she was an active member of the kentucky medical association, the jefferson county medical society, and the tri-county medical society.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
1477,0,en,"einstein once wrote: ""i do not believe in a personal god and i have never denied this but expressed it clearly"".",,"4,3,4,3,3,4,3,3,3,4,4,4,4,3,4,4,4,4,3,3",3.55
14791,1,de,representatives of mr mitchell ashley (r-ohio) if legislation proposed that the organisation of the territory was adopted by the congress of the united states in 1864.,,"2,3,3,3,1,4,3,2,2,4,1,2,1,1,4,4,2",2.4705882352941178
14856,0,en,"the first ten cars were flagged away at the start by the first minister of scotland, rt hon alex salmond and sir jackie stewart.",,"4,3,3,4,3,3,4,2,4,4,3,4,3,3,4,2,3",3.2941176470588234
14922,1,de,tuhus was in the norwegian ministry broadcasting corporation nrk drama 'between 1994 and 2000.,,"4,2,2,3,3,4,4,3,4,4,4,2,4,2,1,4,2,4,1,3",3.0
14982,0,en,"as of the 2010 census, its population is 306.comfort is the home of sherman elementary school.",,"3,2,2,1,4,2,4,1,1,4,3,3,1,2,1",2.2666666666666666
14994,1,fr,"they are all masterworks, all of which have been innovative in their time, but they are not a particular style.",,"3,4,3,4,3,3,4,4,4,3,4,4,4,4,4,3",3.625
1506,1,de,the institution of slavery was abolished in 1923.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
1606,1,de,the international service broadcasts of radio programmes in albanian and seven other languages on medium wave (i) and wave (sw).,,"4,4,4,3,3,4,3,3,3,4,4",3.5454545454545454
1687,1,de,"at that time, ueshiba on its martial arts as' aiki budō '.",,"1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,2",1.5
1701,1,cs,"works of art, can be specifically for this purpose or interpreted on the basis of the images or objects.",,"4,3,3,4,4,3,4,3,4,2,4,4,3,4,3.0",3.466666666666667
1791,1,cs,"for the british, war, has now become much more complicated.",,"4,4,4,4,4,4,3,3,4,4,3,3,4,4,3",3.6666666666666665
1855,1,de,"now the elegant 'computes example-numbers faster, whether for every a, b and research, this is always the case require a detailed analysis.",,"3,1,1,1,2,1,3,1,1,1,1,2,3,1,1",1.5333333333333334
1861,1,es,"but i assume that could be done absolutely everything that can be expected of any logic rational machine. """,,"2,2,2,3,2,2,3,1,2,2,2,2,2,2,2,3,1",2.0588235294117645
1892,1,fr,"when the thessalians realised the order of the day, they are alexander in their back and rapid cancellation, adding their alexander cavalry charge of force.",,"2,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1",1.3125
2011,1,fr,"his name is derived from the arabic word for 'lamb' or 'head of the ram' ('sick al-hamal'), which references aries mythological of substance.",,"4,3,4,4,3,3,3,4,4,3,3,4,4,4,3,4",3.5625
2263,1,cs,"in recent years, politicians actively discourage against campaign in minority languages.",,"4,3,3,4,3,3,3,3,3,4,4,4,4,3,4,3",3.4375
2289,1,es,"at the time, a total of 15 municipalities have created.",,"2,2,3,3,3,3,2,3,2,2,2,3,3,3,3,2,2,2,3",2.526315789473684
2314,1,de,it is not clear how the shortcomings in the idle-stabilization system.,,"2,2,3,2,3,1,2,2,3,3,3,1,2,2,3,2,2",2.235294117647059
2332,1,de,"audi also developed good branding instruments of certain instruments, solid issues, rhythm and it all sounds the audi solid character.",,"2,3,2,2,2,1,3,1,2,1,2,1,2,2,1",1.8
2350,1,es,"also on their behalf survive modern-day companies such as dynamit the nobel prize and akzonobel, which are descendants of mergers with companies.",,"4,1,1,2,3,3,3,3,4,2,3,4,2,1,2,4,3,1,2",2.526315789473684
2387,1,cs,"in its recent, and some of its most productive age, bell division between his residence in washington d.c., where he and his family originally her for most of the year and beinn bhreagh are spent more time.",,"1,3,1,2,2,2,1,2,1,1,1,3,1,2,1,1",1.5625
2498,1,de,the governor of the state of massachusetts had collectively on the next day south trains.,,"2,2,3,2,2,1,1,1,3,1,1,1,3,2,2,2,1",1.7647058823529411
2515,1,es,"mcclellan and read fought in the battle of antietam near sharpsburg, maryland, 17 september, 1862, the bloodiest single day at the united states military history.",,"4,4,4,4,3,3,4,3,4,3,3,4,3,3,3,4,3",3.4705882352941178
255,1,fr,"secondly, any sensory experience that comes when someone is asleep and is perceived by the person then asleep is not eligible under a dream.",,"4,2,4,2,3,4,3,3,2,3,3,4,3,4,3,2.0",3.0625
2589,1,es,"after the mid-1960s, became much less rich, but its work later — among its last two epics', kagemusha '(1980) and' addressed '(1985) — continued to win awards, including the' kagemusha ', although more often abroad that in japan.",,"3,1,2,3,3,1,2,3,3,1,1,2,2,2,3,2",2.125
2735,0,en,"however, on 10 february 1973, the song came third in melodifestivalen; thus it never reached the eurovision song contest itself.",,"4,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3",3.6470588235294117
2759,1,fr,for the album agnetha recorded duets with his son and with a chorus of children.,,"4,3,4,3,2,2,3,3,4,3,4,3,4,3,2,3",3.125
2767,1,fr,"for me, however, were certified by the music industry association of america for the sale of over a million copies of all.",,"1,2,2,2,3,1,1,2,1,1,2,1,3,3,1,2",1.75
2768,1,cs,"emigration to the uncivilized country leaves intact the british nationality: a right for all states to deal with their authority their issues, so that emigration is one of the usual and recognised by colonial enlargement.",,"2,3,1,3,2,3,3,1,2,1,4,1,4,2,2,3,4,2,2",2.3684210526315788
289,1,fr,"the more monitored ceremony based on ratings nielsen until now, however, the Academy 42nd distinctions (better scoreboard 'midnight cowboys'), which has attracted a 43.4% of households rating on 7 april 1970.",,"2,2,1,1,1,2,1,1,3,1,2,1,2,1,3,2",1.625
2923,1,cs,"the least stable is astatine-214m1; its half-life from 265 nanoseconds is shorter than all the states, in addition to that of the astatine-213.",,"4,4,3,4,4,3,4,4,3,3,3,3,3,4,4,2,2",3.3529411764705883
301,1,es,the majority of the clocks are caesium watches; the definition of whether the second is written in terms of caesium.,,"3,3,3,3,2,3,3,3,3,3,2,3,4,3,2",2.8666666666666667
310,1,cs,"however, when volunteers generously places the interests other than their own, charitable donations, further brain circulation was selectively activated: subgenual cortex / septal region.",,"3,3,1,3,1,3,2,4,2,1,2,1,2,4,1,3,1,2",2.1666666666666665
3184,1,es,these deficits were less serious than the seen similar of children with a diagnosis multiple sclerosis.,,"2,2,2,2,3,3,1,1,1,1,2,2,3,2,3,2,2,2",2.0
3194,1,cs,they can also hold the key to the pathogenesis.,,"3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4",3.823529411764706
3242,1,de,high-water in streams and rivers peak in june and july in the snow on the high altitudes.,,"2,4,3,2,2,3,3,2,3,4,2,3,3,4,3,4,3",2.9411764705882355
3255,0,en,the 16th century switzerland was well-established as a separate state.,,"3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4",3.588235294117647
3320,1,de,"this issue was largely by the time the christie in the middle east, where it consistently religious temple and spiritual history of the cities that, during the gulf mallowan archaeological work.",,"2,1,1,1,2,1,2,1,1,1,1,1,2,1,1",1.2666666666666666
3349,1,de,the tension or the current was a 'analogue' of the sound.,,"3,1,3,4,3,3,4,3,3,4,2,4,2,3,2,2,3,2,3,1",2.75
3541,1,es,"in january 1937, has returned to lambaréné and continue to work there during the second world war.",,"2,3,3,3,3,3,2,2,2,3,3,2,2",2.5384615384615383
3571,0,en,"if the abscess does not heal only with incision and drainage, or if the abscess is in a place that is difficult to drain such as the face, hands, or genitals, then antibiotics may be indicated.",,"4,4,4,4,4,3,2,3,4,4,2,4,4,4,4,4,2",3.5294117647058822
3667,1,cs,"the majority of almonds were to export as shelled almonds (70%), with the rest either unshelled or processed.",,"4,4,3,3,3,4,3,2,4,3,4,4,3,4,3,4,4,2,2",3.3157894736842106
3738,0,en,"during the war, the azeri armed forces were also aided by turkish military advisers, and russian, ukrainian, chechen and afghan mercenaries.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
3763,1,cs,"the vast majority of energy produced with imported fuels, including gas and nuclear fuel from russia (for their nuclear plants.)",,"3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,4",3.4705882352941178
386,0,en,algeria has the second largest military in north africa with the largest defence budget in africa ($10 billion).,,"4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3",3.789473684210526
3880,1,de,"it analyses language in the framework of the anthropology, biology, development, geography, history, neurology, psychological and sociological.",,"4,3,3,4,4,3,3,2,3,4,3,2,3,4,4,2,3",3.176470588235294
3892,1,fr,"however, spalding was known aggrandise its role in the great moments baseball.",,"3,1,2,2,2,2,2,1,1,1,2,1,3,2,1,2",1.75
3954,1,de,gawler pointed out and governor grey in 1841.,,"2,2,1,2,1,1,1,1,2,1,1,1,1,2",1.3571428571428572
4091,0,en,"while this may seem trivial, it was symptomatic of an attempt by people manually reproducing academic texts to reduce the copy time.",,"4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4",3.6875
4116,1,fr,"in 2002, a survey bbc classified as seventy-third more briton of all the time.",,"1,2,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2",1.3529411764705883
414,0,en,when slavery was abolished in france in 1848 the société was abandoned.,,"4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4",3.7777777777777777
4200,1,cs,"athena is known for its calm temperament, how slowly anger.",,"2,1,3,2,1,2,3,1,2,2,3,3,2,2,1",2.0
4270,1,es,"the free movement owes much to the increasing sophistication of society, marked by political stability, economic growth and cosmopolitanism.",,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
4364,1,fr,the orbitals associated with a particular value are sometimes collectively called a 'subshell'.,,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
4372,1,fr,the fifth and final d-orbital consists of three parts: a density of high probability torus with two pear-shaped regions placed symmetrical on its axis z.,,"4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,4,3",3.611111111111111
4431,1,cs,"built from approximately half a million animals welsh slate, by stephen kettle sculpted commissioned by the american billionaire sidney honest.",,"2,2,2,3,2,1,1,2,3,2,1,1,1,2,3,2,3,2",1.9444444444444444
4466,1,fr,"historian heinrich zimmer writing that 'as britain was part of the novel empire, if the british church formed (in the fourth century) a branch of the Catholic Church in the west and in the whole of this century, the Board of arles (316) Yes, has participated in all the procedures relating to the church.'",,"3,3,3,3,1,2,2,3,2,1,1,1,2,3,2,2",2.125
4504,1,de,the society for spreading the gospel in other parts (spg) in 1701 and the church mission society (cms) in 1799.,,"4,3,3,3,4,2,3,3,3,3,4",3.1818181818181817
4724,1,es,"although may be primus was found guilty, some juries voted to acquit, which means that not everybody believed augustus, evidence, is an insult to the 'august one'.",,"4,2,2,2,1,2,3,3,3,1,1,1,2,3,2,3,2,3,4,1",2.25
4751,1,fr,"two of havilland double otters, have sent calgary with a back-up.",,"2,1,2,3,2,1,1,1,1,2,1,1,3,2,3,2,1",1.7058823529411764
4854,1,fr,"studies have shown that the high levels of pahs, for example, are cooked meat at high temperatures as its or barbecuing, and in the smoked fish.",,"4,2,3,2,2,1,2,3,3,3,2,3,2,4,4,1",2.5625
4872,1,de,"the extension of the longitudinal dimensions, there is not far away.",,"1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1",1.4375
4989,1,cs,"every dentary (tooth-bearing bone of lower jaw) between 14 and 17 teeth, with an average rely on 16.",,"2,1,2,3,3,2,2,3,1,2,2,1,3,3,2,2",2.125
5011,1,fr,"in 1949, the ak-47 was officially accepted by the Soviet armed forces and used by the majority of the Member States of the pact warsaw.",,"4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,3,4",3.611111111111111
5031,1,fr,"every door was a vacuum inverting eulogies increase, preceded by a contribution resistor divider network defined the logic function.",,"1,1,2,1,1,2,2,1,1,1,2,2,2,1,1",1.4
5061,1,de,"their influence it is relatively easy to move and, but its design is not very compact, and perhaps it is difficult, stow collapses, if a model used.",,"1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1",1.2941176470588236
5089,1,de,if the museum for consideration.,,"2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1",1.5
5230,1,fr,"after this, men devoted their lives to the war to retire at the age of 60.",,"2,4,3,4,4,4,4,3,4,4,4,2,2,2,3,3,4,3,4",3.3157894736842106
5240,1,es,great britain recruited council and hanovrian troops until the end of the eighteenth century.,,"3,4,3,4,4,3,4,4,4,3,3,4,3,3,4,4,4,4",3.611111111111111
5259,1,cs,the teachings william ellery channing a few years earlier have also been laid the foundations for the work of the most concord transcendentalists.,,"3,2,2,4,3,2,2,3,4,1,1,1,1,2,4,1,2",2.235294117647059
