ID,translated,source-language,sentence,context,full-ratings,mean-ratings
10689,1,es,the strong winds karen eur 250 million in damage caused dollars dollars) (1962 and 11 deaths.,"although paul is widely influenced by hellenistic thought, he is not controlled by it.	schweitzer explains that paul focused on the idea of fellowship with the divine being through the ""realistic"" dying and rising with christ rather than the ""symbolic"" hellenistic act of becoming like christ through deification.	after baptism, the christian is continually renewed throughout his or her lifetime due to participation in the dying and rising with christ (most notably through the sacraments).","1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2",1.3125
10697,0,en,"in march 2009 prosecutors in a philadelphia drug dealing case named buckhalter as a celebrity client of the alleged dealer, styles n. beckles.","she gave ponce two daughters, beatriz and sancha, and two sons, fernando ""el mayor"" and guerau.	his daughter sancha married vela gutiérrez.	in 1145, ponce gave the government of his catalan viscounties to guerau (giraldo), who immediately set to work founding the monastery of santa maria de roca rossa.","3,4,4,4,4,3,4,4,4,4,4,4,4",3.8461538461538463
1074,1,de,"in addition to the alkali metal amide salt and solvated electrons, ammonia solutions include the alkali metal cation (m +), the neutral alkali metal nuclear (m), diatomic alkali metal compounds (m2) and alkali metal anions (m -).","jaanipäev was celebrated long before the arrival of christianity in estonia, although the day was given its name by the crusaders.	the arrival of christianity, however, did not end pagan beliefs and fertility rituals surrounding this holiday.	in 1578, with some disgust, balthasar russow wrote in his ""livonian chronicle"" about estonians who placed more importance on the festival than going to church.","3,3,4,4,4,3,4,4,4,4,3,4,4,4,3",3.6666666666666665
1075,1,cs,"to use as a basis, butyllithiums are often used and are commercially available.","the seat of the municipality is rodolivos.	amphipolis was a rich city (polis) in ancient macedonia.	it was famous for events such as the battle of the spartans and athenians in 424bc, and as the place where alexander the great prepared for campaigns leading to his invasion of asia.","3,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3",3.5625
10836,1,es,the southern agreement to be brought before the people on an impressive stone viaduct which is highest (one of several such structures in the map).,"on october 30, the circuit court of kyiv passed a decision refusing to satisfy in the full scope the claim of yu.	tymoshenko against the spsu actions.	specifically, the court sustained that the system of video-observation installed by the spsu in the premises where the convicts are kept, is legal.","3,3,3,2,2,1,3,3,4,4,3,1,3,3,1,1,2",2.4705882352941178
10844,1,de,"in a week 12 game against the new england patriots, reed mentioned the describe as the security position if sean considine and quintin mikell not because of violations.","the local dynasty of the shirvanshahs became a vassal state of timur's empire, and assisted him in his war with the ruler of the golden horde tokhtamysh.	following timur's death, two independent and rival states emerged:	kara koyunlu and ak koyunlu.","1,1,2,2,1,2,1,2,3,2,1,1,3,2,2,3,2,1",1.7777777777777777
10860,1,cs,"in september 15, carmen achieved landfall in southern china and dispelled the following day.","he is noticeably smaller than most other dragons portrayed in the series; a characteristic that aids him in the first game.	in the original series, most dragons are depicted as bipedal; however, spyro is depicted as quadrupedal.	in the newer series, his back-story was that two thieves were running through the dragon realms and the dragons stopped them.","3,3,4,4,3,3,4,4,3,3,3,4,4,4,4,3",3.5
10894,1,fr,"on the basis of 'memories of 2', the main series of gambling offers the possibility of multiple endings for each of the heroines.",the spartan army was one of the earliest known professional armies.	boys were sent to a barracks at the age of seven to train for being a soldier.	at the age of thirty they were released from the barracks and allowed to marry and have a family.,"2,3,3,4,3,4,3,3,4,3,3,3,4",3.230769230769231
1090,1,fr,"no attempt of synthesis were made for any of metals chlor-alkali as unhexpentium, due to the large number of nuclear.","in the 1960s, the aclu opposed involuntary commitments, unless it could be demonstrated that the person was a danger to himself or the community.	in the landmark 1975 ""o'connor v. donaldson"" decision the aclu represented a non-violent mental health patient who had been confined against his will for 15 years, and persuaded the supreme court to rule such involuntary confinements illegal.	the aclu has also defended the rights of mentally ill individuals who are not dangerous, but who create disturbances.","4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,3",3.4375
10907,1,de,"it is also in the media, feng shui, different cultures and different trading venues and green dragon and avalon dragon.","the rotc cadets associated with the university are responsible for the transportation of the bell to various events and for ringing the bell after games are won by the sun devils.	the first victory bell, in various forms, was used in the 1930s but the tradition faded in the 1970s when the bell in use was removed from memorial union for renovations.	the bell cracked and was no longer capable of ringing.","2,2,1,2,2,2,3,3,1,3,1,1,2,1,2",1.8666666666666667
110,1,de,"in 2010, per capita income for the state of dollars 22,984.","cardinal alessandro albani had another villa and park at porto d'anzio, that was finished in february 1732, but was habitable for a few weeks only in spring because of malaria.	perhaps the villa, and certainly a casina in the park were by marchionni.	excavations in the park brought to light many ancient roman sculptures.","2,1,1,3,3,3,2,3,1,2,4,1,3,2,2",2.2
11029,0,en,"it took the combined weight of mercury, may and taylor to persuade him.","the two then leave for the bank when hector comes clean that carlos did not hire him.	gabrielle begins to freak out and demands she be driven home.	when they arrive at a deserted park, gabrielle makes a run for it","4,2,4,3,4,4,4,4,4,3,2,3,4,4,4,4",3.5625
1105,1,fr,"a third type, called abugida or alphasyllabary, where vowels have shown by diacritics or changes to basis consonantal letters, as devanagari and other south asian paperwork.",she drives back to dae-jun's exhibit.	she takes him aside and asks him various questions about the works of art and makes comments about how some pieces may look good in their home.	she continues to pretend that dae-jun is in fact,"2,3,1,2,2,3,3,3,2,3,4,1,3,2,3",2.466666666666667
11168,1,es,the three plead before.,"edwin j. ""ted"" bounsall (born november 6, 1935) is a former canadian in ontario, canada.	he was a ndp member of the legislative assembly of ontario from 1971 to 1981.	he represented the ridings of windsor west from 1971 to 1975 and windsor—sandwich from 1975 to 1981.","3,2,2,2,3,2,3,3,2,3,3,4,2,1,1",2.4
11183,0,en,"the government is responsible only to parliament, specifically the people ’ s assembly.","equestrian symbols such as saddle pouches, horse heads and reins are carved into their ground floors.	their galvanized iron friezes are further decorated with embossed garlands and rosettes.	the neighboring building at 165 east 73rd is a beaux-arts style building in yellow roman brick with foliate carvings.","3,3,4,3,4,3,4,3,4,3,3,3,4,4",3.4285714285714284
11413,1,de,"well-known american and italian artists in the 20th century, also in the collection.","this race was constantly threatened to be postponed because of rain and was red flagged once because of actual rainfall.	it took six hours, forty-two minutes, and thirty-seven seconds for the race to reach its conclusion, making it the slowest southern 500 ever; fonty flock was the winner.	he would stop on the front straight, climb up on his hood and lead the entire crowd in singing his own version of the classic southern american song ""dixie"".","2,3,2,2,3,3,3,3,4,3,4,3,3,3",2.9285714285714284
11570,1,es,appear (the time bad that monarch was transformed into) aimed at the whole team titans attacking the heroes who were trying to undo this time of crisis.,"""rashomon"", which premiered in tokyo in august 1950, and which also starred mifune, became, on september 10, 1951, the surprise winner of the golden lion at the venice film festival and was subsequently released in europe and north america.	the commercial and critical success of this film opened up western film markets for the first time to the products of the japanese film industry, which in turn led to international recognition for other japanese filmmakers.	throughout the 1950s and early 1960s, kurosawa directed approximately a film a year, including a number of highly regarded films such as ""ikiru"" (1952), ""seven samurai"" (1954) and ""yojimbo"" (1961).","2,1,1,1,3,1,3,3,2,1,1,2,2,1,1,2,1",1.6470588235294117
11579,1,es,some of the houses are on holiday allows.,"unfortunately he finds her hiding in a wardrobe and boasts about his illegal activities.	jasmine pretends to understand his reasons before trying to escape but shane catches her and tries to rape her.	debbie arrives and hits shane on the head with a chair leg, knocking him out briefly, but he comes round and grabs debbie.","1,1,1,2,3,2,1,2,3,1,2,1,1,1,2,3",1.6875
11591,1,es,in the south of the a1067 is bawdeswell garage.,"it turned to the west, maintaining its powerful winds of 175–185 mph for 4 days as it crossed the islands of the west pacific.	cool air weakened karen as it turned to the north, and was only a minimal typhoon at its nearest approach to japan.	the storm turned eastward, where it became extratropical on november 18.","2,3,4,2,3,3,3,1,2,3,3,4,1,1",2.5
1173,1,fr,"at the end of 1978, it has also written writing 'sardor' with the writer aleksandr misharin.","abu bakr's caliphate lasted for 27 months, during which he crushed the rebellion of the arab tribes throughout the arabian peninsula in the successful ridda wars.	in the last months of his rule, he sent general khalid ibn al-walid on conquests against the sassanid empire in mesopotamia and against the byzantine empire in syria.	this would set in motion a historical trajectory (continued later on by umar and uthman ibn affan) that in just a few short decades would lead to one of the largest empires in history.","2,2,1,2,3,3,2,2,2,2,2,2,1,1,1",1.8666666666666667
11808,1,fr,"60-60 related to the end of the regulation and 73-73 at the end of the first overtime, it was cairns which has prevailed 85-81 to send the last number one third and decide game.","the aardwolf is the only surviving species in the mammalian subfamily ""protelinae"".	there is disagreement as to whether the species is monotypic.	or can be divided into subspecies ""p. c. cristatus"" of southern africa and ""p. c. septentrionalis"" of east africa.","2,3,2,3,3,3,1,2,2,2,1,2,2,2,2",2.1333333333333333
11894,0,en,"nevertheless the cooler component (gamma2) is more massive than gamma1 and according to the hierarchy of masses and brightness, gamma2 should be the primary star of the system.","in contrast, some research has applied the theory to more normative and rational types of action.	some of the applications of the tra include college fraternity and sorority hazing, coupon usage, and adolescent sexual behavior.	researchers davies, foxall, and pallister suggest that the theory of reasoned can be tested if ""behavior is measured objectively without drawing a connection to prior intention"".","4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
11895,1,cs,macey serves the academic advisory committee (comitato scientifico) associazione disiano preite for the study of company law (on lo studio del diritto dell ’ impresa).,"reactions are sensitive acidic or alkaline conditions, which can cause hydrolysis of -cn group.	lialh4 is more commonly employed for the reduction of nitriles on the laboratory scale.	similarly, lialh4 reduces amides to amines.","2,3,3,2,3,3,4,3,2,3,1,3,1,1,4",2.533333333333333
12056,1,de,"later handley, in the first concert in london, the symphony orchestra of morley college.","jícama (; ; from nahuatl ""xicamatl"", ), also yam and mexican turnip, is the name of a native mexican vine, although the name most commonly refers to the plant's edible tuberous root.	jícama is one species in the genus ""pachyrhizus"".	plants in this genus are commonly referred to as yam bean, although the term ""yam bean"" can be another name for jícama.","2,2,2,3,2,2,2,2,2,2,3,2,2,1,1,1,3",2.0
12112,1,cs,"the conducted extensive holidays in mexico, the netherlands, germany and spain for nearly three years.","anne returned to thorp green in january 1843 where she secured a position for branwell.	he was to take over as tutor to the robinsons' son, edmund, who was growing too old to be in anne's care.	branwell did not live in the house as anne did.","2,3,3,3,4,4,2,3,3,3,3,3,2,1,1,1,1",2.4705882352941178
1214,1,fr,"recent studies have shown that the aardwolf probably for the whole of the family hyena right from the start, but how early is still unclear that fossil fuels and studies agreement of 10 million years.","near the west end of lake thun, the river receives the waters of the kander, which has just been joined by the simme.	lake thun marks the head of navigation.	on flowing out of the lake it passes through thun, and then flows through the city of bern, passing beneath eighteen bridges and around the steeply-flanked peninsula on which the old city is located.","2,1,2,3,3,2,2,1,2,2,2,2",2.0
12165,0,en,"here, they recorded the more widely heard a-side.","abugidas developed along a slightly different route.	the basic consonantal symbol was considered to have an inherent ""a"" vowel sound.	hooks or short lines attached to various parts of the basic letter modify the vowel.","3,4,3,4,3,4,4,4,4,4,4,3,4,4",3.7142857142857144
12302,1,fr,"finally, petraeus pleaded guilty to a misdemeanor accusations of mismanagement classified information.","brooks observatory is an astronomical observatory owned and operated by the university of toledo.	the observatory is used primarily for public viewing and undergraduate instruction.	it hosts an array of small telescopes, the centrepiece of which is a six-inch refractor.","2,2,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3",2.9411764705882355
12359,1,cs,"previously, local time was intended astronomical comments in hong kong observatory through 6-inch lee equatorial and 3-inch transit circle.","deeply shadowed cavities can achieve an effective albedo approaching the zero of a black body.	when seen from a distance, the ocean surface has a low albedo, as do most forests, whereas desert areas have some of the highest albedos among landforms.	most land areas are in an albedo range of 0.1 to 0.4.","2,2,2,1,1,2,1,2,1,1,2,1,1,2",1.5
12388,1,cs,universities is known for its prestige programme pharmacies.,"of the early history of the kingdom of assyria, little is positively known.	in the assyrian king list, the earliest king recorded was tudiya.	in archaeological reports from ebla, it appeared that tudiya's activities were confirmed with the discovery of a tablet where he concluded a treaty for the operation of a ""karum"" (trading colony) in eblaite territory, with ""king"" ibrium of ebla (who is now known to have been the vizier of ebla for king ishar-damu).","3,1,3,2,3,3,2,3,2,3,2,3,3,1",2.4285714285714284
1242,1,fr,"while the urban towns were more technologically advanced and socially, in many cases, they could do little to a military aspect to defend against the rise of hordes of the steppe.","it is bounded by mandsaur district to the north, jhalawar district of rajasthan state to the northwest, ujjain district to the west, dhar district to the south,	jhabua district to the southeast, and chittorgarh district of rajasthan to the east.	it is divided into five tehsils and is home to 9 towns and 1063 villages (as of 2001).","2,2,3,3,4,2,3,3,4,3,4,3,4,2,3,2,4",3.0
12458,1,de,"the use of egyptologists controversial, but the situation of these reservoirs under the sun, proposes ritual practices which shed some light on the role of this monument.","in the fast food version, a plate already arranged with a variety of cooked vegetables and curries along with a fixed quantity of rice and indian flatbreads is handed out across the counter against a prepaid coupon.	the curries and breads vary depending on the region and local preferences.	the higher priced ones may add a sweet to the combination.","3,3,3,2,2,1,3,2,2,1,2,2,2,2,2,2,3",2.176470588235294
12627,1,de,"he complained to church but not spent, and their time helmets, drinking water, singing and dancing, after pagan rituals.",combined authorities consist of two or more contiguous english local government areas.	the creation of a combined authority is voluntary and all local authorities within the area must give their consent before it can be created.	the local authority of any district of england outside greater london can join a combined authority and a county council can become part of a combined authority even if only some of the non-metropolitan districts that make up the county are within the combined authority area.,"2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2",1.5294117647058822
12658,1,de,"on 22 november 545, pope vigilius celebrated the feast of the holy in the church, if the emissary of empress theodora, anthemius scribo, arrested.",after negotiations the last of the montagnards in revolt released their prisoners.	u.s. special forces remained with the montagnards to maintain calm.	the south vietnamese government agreed to meet with the montagnards to discuss their grievances.,"2,2,2,3,2,2,1,2,3,2,4,3,2,3,2,3,4",2.4705882352941178
12703,1,es,"when katie discovers declan had ceased its horses of the stables and on the people who get gordon adam help round of new and apology for the use of him, but its forgives and shows that do not mind as he has drawn to it.","as early as june 2003, new world development wanted to convert the wan chai hong kong convention and exhibition centre car park into a used car venue.	after tsang yam-pui became director, and donald tsang became chief executive, the demand by new world was approved.	both brothers denied any association to this deal.","2,1,1,2,2,1,1,1,1,2,2,1,1,1",1.3571428571428572
12889,0,en,he was the father of major league coach dom chiti.,"harry chiti (pronounced ) (november 16, 1932 – january 31, 2002) was an american catcher in major league baseball.	from 1950 through 1962, he played for the chicago cubs, kansas city athletics, detroit tigers and new york mets.	chiti batted and threw right-handed.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
12895,1,cs,cohesion is thought bernays indicate that the existence of measurable cardinal.,"his neuropathological studies contributed greatly to the delineation of several diseases, including multiple sclerosis and friedreich's ataxia.	he first recognised and described alper's disease and creutzfeldt-jakob disease (the latter with hans gerhard creutzfeldt).	he accumulated experience in neurosyphilis, having a 200-bedded ward devoted exclusively to that disorder.","2,1,1,2,1,1,3,2,2,3,1,1,1,2,2",1.6666666666666667
1290,1,de,"although the historian, in general, of the opinion that the article too weak, the fast-growing nation, you, the solution to the question of how the member states voluntarily in your country national control.","nixon: hello, neil and buzz.	i'm talking to you by telephone from the oval room at the white house.	and this certainly has to be the most historic telephone call ever made.","2,1,2,1,1,1,2,2,1,2,2,1,1,1,1",1.4
12957,0,en,"the powers whiskey sponsorship is backed up by the irish branch of pernod ricard, a sponsorship existing since 1960 and the longest sponsorship in irish racing.","upon promotion to lieutenant colonel, petraeus moved from the office of the chief of staff to fort campbell, kentucky, where he commanded the 101st airborne division (air assault)'s 3rd battalion 187th infantry regiment, known as the ""iron rakkasans"", from 1991–1993.	during this period, he suffered one of the more dramatic incidents in his career; in 1991 he was accidentally shot in the chest with an m-16 assault rifle during a live-fire exercise when a soldier tripped and his rifle discharged.	he was taken to vanderbilt university medical center, nashville, tennessee, where he was operated on by future u.s. senator bill frist.","3,3,3,4,4,4,4,3,3,4,3,3,4,4,4",3.533333333333333
12981,1,de,"jelly roll morton also said, written level, based on the jazzed version of the old french quadrille.","there is convenient parking with sufficient room to maneuver for tour buses	both band and crew buses and semi trailers by the loading dock and rear stage door.	while this outside parking is close to the main stage, it however lacks any shore power electrical tie in boxes near the bus and truck parking.","2,2,1,3,3,4,2,2,3,2,3,1,2,1,2,1,4",2.235294117647059
13021,1,es,now serves as john franklin science centre.,"on all previous apollo flights, including the non-lunar flights, the commander and lunar module pilot had worn suits with the life support, liquid cooling, and communications connections in two parallel rows of three.	on apollo 15, the new suits, dubbed the ""a7lb,"" had the connectors situated in triangular pairs.	this new arrangement, along with the relocation of the entry zipper (which went in an up-down motion on the old suits), from the right shoulder to the left hip, allowed the inclusion of a new waist joint, allowing the astronauts to bend completely over and to sit on the rover.","2,3,4,2,3,4,3,2,4,3,4,3,4,2,1,2,2",2.823529411764706
13041,0,en,the supreme court of arizona upheld the argument.,"the star is thought to have about 7 times more luminosity than the sun.	the secondary star (gamma2 delphini) is an orange subgiant star of spectral type ""k1iv"" and an apparent magnitude of 4.27.	this star is thought to have about 20.6 times more luminosity than the sun.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13043,1,de,this j. j. winckelmann tucked away.,"tradition holds that the church was built over the house of the saint.	the baptistery associated with this church, together with the remains of a roman house of the early empire, was found during some excavations under the chapel of the relics.	by the late fifth century, at the synod of 499 of pope symmachus, the church is mentioned as the ""titulus ceciliae"".","3,2,2,1,3,1,2,3,3,2,2,2",2.1666666666666665
13084,1,es,"maui survives the volcano and the islanders send through the 'test maui duckhood', that is, to win the confidence of the native people.","after the imposition of martial law by ayub khan, she once wished the regime well.	yet after martial law was lifted, she sympathised with the opposition as she was strongly in favour of democratic ideals.	being sister of her beloved brother, she was held in high esteem, and came to symbolise the democratic aspirations of the people.","2,3,3,3,2,3,3,2,3,3,3,2,2,2,3",2.6
13128,0,en,they are the largest youth employer in kugluktuk.,"tetravalent americium has also been observed in the aqueous phase.	for this purpose, black am(oh)4 was dissolved in 15-m nh3f with the americium concentration of 0.01 m.	the resulting reddish solution had a characteristic optical absorption spectrum which is similar to that of amf4 but differed from other oxidation states of americium.","4,3,4,4,4,3,3,3,4,4,3,3,4,4,4,4,3",3.588235294117647
13167,1,es,"mathis played with aeroplanes until 1994, starting with two games and make four touchdowns total.","in 2009, intacct formed an alliance with the american institute of certified public accountants (aicpa).	this was the first time in the aicpa's history that it recognized a single technology vendor as a preferred provider.	the aicpa and its subsidiary cpa2biz aligned with intacct, naming the company as their preferred provider of financial applications to cpa professionals and aicpa members.","2,2,2,2,2,3,2,3,1,3,3,1,2,2",2.142857142857143
13188,1,es,asch worked as director of the cva until his death in 1994.,"in april 1985, taylor wang became the first ethnic chinese person in space.	the first person born in africa to fly in space was patrick baudry (france), in 1985.	in 1985, saudi arabian prince sultan bin salman bin abdulaziz al-saud became the first arab muslim astronaut in space.","4,3,4,4,3,3,4,4,4,3,4,4,4,4",3.7142857142857144
13310,1,es,the district lies in the southwestern corner of madhya pradesh; the narmada river forms its northern border.,"back in egypt, and after a short period of rest, kippenberger set about rebuilding the battalion, which had lost over half its original complement.	nearly 400 replacements joined the battalion and stragglers continued to arrive for several weeks as they made their way across the mediterranean in small sailboats.	by mid-june, it was back up to strength.","3,3,3,2,3,2,1,2,2,3,1,2,2,1,1,1",2.0
13390,1,fr,following the reorganisation of the States on 1 november 1956,"during 1975, tarkovsky also worked on the screenplay ""hoffmanniana"", about the german writer and poet e. t. a. hoffmann.	in december 1976, he directed ""hamlet"", his only stage play, at the lenkom theatre in moscow.	the main role was played by anatoly solonitsyn, who also acted in several of tarkovsky's films.","3,2,4,3,2,4,3,3,3,3,3,3,4,3,3,2",3.0
13403,0,en,the most common language is malvi (rajasthani and hindi mixed).,"she was an active member of the american association for the advancement of science.	she was the first women to hold the position of vice president with the american medical association.	she was president of the association of southern medical women, and councilor of the american association of medical women.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13423,1,fr,the region is part of ujjain division.,"in 2012 agassi took part in five tournaments, winning three of those.	in november, at first he won bilt champions showdown in san jose, beating john mcenroe in the final.	the following day, he defended his title of the ctca championships, while defeating courier in the decisive match.","4,4,3,4,3,3,4,3,3,4,4,4,3,3",3.5
13482,1,es,pluralism is quite inaccurate and is in fact only one building.,"some use inertial feeding to help them swallow the prey, repeatedly thrusting their head forward sharply causing the food to move backwards in their mouth by inertia.	most amphibians swallow their prey whole without much chewing so they possess voluminous stomachs.	the short oesophagus is lined with cilia that help to move the food to the stomach and mucus produced by glands in the mouth and pharynx eases its passage.","1,2,3,2,3,3,2,3,4,3,3,1,3,3,3,4",2.6875
13541,1,cs,"the divisional level, divisional the development committee chaired by the prefect and violated mayors, representatives and private individuals.","most republican strength traditionally lied mainly in the northwestern part of the state, particularly fort smith and bentonville, as well as north central arkansas around the mountain home area.	in the latter area, republicans have been known to get 90 percent or more of the vote, while the rest of the state was more democratic.	after 2010, republican strength expanded further to the northeast and southwest and into the little rock suburbs.","2,2,2,2,2,2,2,2,2,2,2,2,2",2.0
13621,1,de,a local authority only belong to a common authority.,"the mean precipitation in the alps ranges from a low of per year to per year, with the higher levels occurring at high altitudes.	at altitudes between , snowfall begins in november and accumulates through to april or may when the melt begins.	snow lines vary from , above which the snow is permanent and the temperatures hover around the freezing point even july and august.","2,3,2,3,3,1,3,1,1,4,3,3,4,2,3,2,3",2.5294117647058822
13716,1,cs,this leads to gemmler retroactive payments.,"within this latter sense, the word ""art"" may refer to several things: (i) a study of a creative skill, (ii) a process of using the creative skill, (iii) a product of the creative skill, or (iv) the audience's experience with the creative skill.	the creative arts (""art"" as discipline) are a collection of disciplines which produce ""artworks"" (""art"" as objects) that are compelled by a personal drive (art as activity) and convey a message, mood, or symbolism for the perceiver to interpret (art as experience).	art is something that stimulates an individual's thoughts, emotions, beliefs, or ideas through the senses.","3,3,3,4,4,3,3,3,3,4,2,3,4",3.230769230769231
13907,1,es,your proposal for a court of rooms in ireland was accepted and became its first master.,"critics also panned the handwriting recognition that was available in the debut models, which had been trumpeted in the newton's marketing campaign.	it was this problem that was skewered in the doonesbury comic strips in which a written text entry is (erroneously) translated as ""egg freckles?"", as well as in the animated television series the simpsons.	however, the word 'freckles' was not included in the newton dictionary, although a user could add it themselves.","1,2,2,3,3,4,1,4,3,3,2,3,1,1",2.357142857142857
14000,1,es,this work has been subject to speak in the seminar bourbaki.,"during the investigation, armenian intelligence officers, accused of involvement in the series of metro bombings in baku as well as on azerbaijani trains operating both in azerbaijan and russia, were taken into custody in moscow.	the russian citizens kamo fyodorovich saakov, an ethnic armenian, his wife irina alexandrovna saakova and anatoly anatolyevich ilchuk were arrested in july 1994, charged with preparations of the attacks.	in august of the same year saakov was sentenced to life imprisonment and ilchuk to 15-year imprisonment for preparation of diversion, contraband and illegal custody of weapon.","3,3,2,2,1,2,2,1,3,3,2,2,3,1",2.142857142857143
14034,1,de,the hairy-eared dwarf lemur ('allocebus trichotis') was only five museum specimens known in the late nineteenth century and 1965.,"the assyrians suffered a further catastrophic series of events during world war i in the form of the religiously and ethnically motivated assyrian genocide at the hands of the ottomans and their kurdish and arab allies from 1915 to 1918.	some sources claim that the highest number of assyrians killed during the period was 750,000, while a 1922 assyrian assessment set it at 275,000.	the assyrian genocide ran largely in conjunction to the similarly motivated armenian genocide and greek genocide.","2,3,4,3,3,3,2,3,2,4,3,2,4,4,3,4",3.0625
14066,0,en,"in the same year, his mother and his wife, berenguela (berengaria), witnessed its foundation charter.","throughout his eight years in office, jackson made about 70 treaties with native american tribes both in the south and the northwest.	jackson's presidency marked a new era in indian-anglo american relations initiating a policy of indian removal.	jackson himself sometimes participated in the treaty negotiating process with various indian tribes, though other times he left the negotiations to his subordinates.","3,3,4,3,3,3,4,3,4,3,4,3,3,3",3.2857142857142856
