ID,translated,source-language,sentence,context,full-ratings,mean-ratings
10689,1,es,the strong winds karen eur 250 million in damage caused dollars dollars) (1962 and 11 deaths.,"it turned to the west, maintaining its powerful winds of 175–185 mph for 4 days as it crossed the islands of the west pacific.	cool air weakened karen as it turned to the north, and was only a minimal typhoon at its nearest approach to japan.	the storm turned eastward, where it became extratropical on november 18.","3,2,1,1,3,1,2,1,1,1,2,2,3,2,1,1,2,3,1,2",1.75
10697,0,en,"in march 2009 prosecutors in a philadelphia drug dealing case named buckhalter as a celebrity client of the alleged dealer, styles n. beckles.","buckhalter is a cousin of tampa bay buccaneers cornerback brandon mcdonald.	buckhalter has had to deal with adversity over his career.	his mother died when he was young and his brother chris, who played on the eagles practice squad in 1996, is serving a 20-year sentence for manslaughter.","4,4,2,3,4,4,2,2,4,4,4,4,4,3,3,3,4",3.411764705882353
1074,1,de,"in addition to the alkali metal amide salt and solvated electrons, ammonia solutions include the alkali metal cation (m +), the neutral alkali metal nuclear (m), diatomic alkali metal compounds (m2) and alkali metal anions (m -).","the amide salt is quite insoluble and readily precipitates out of solution, leaving intensely coloured ammonia solutions of the alkali metals.	in 1907, charles krause identified the colour as being due to the presence of solvated electrons, which contribute to the high electrical conductivity of these solutions.	at low concentrations (below 3 m), the solution is dark blue and has ten times the conductivity of aqueous sodium chloride; at higher concentrations (above 3 m), the solution is copper-coloured and has approximately the conductivity of liquid metals like mercury.","3,4,2,4,4,3,4,3,4,4,3,2,4,2,4,4,3,3",3.3333333333333335
1075,1,cs,"to use as a basis, butyllithiums are often used and are commercially available.","being the smallest alkali metal, lithium forms the widest variety of and most stable organometallic compounds, which are bonded covalently.	organolithium compounds are electrically non-conducting volatile solids or liquids that melt at low temperatures, and tend to form oligomers with the structure (rli)""x"" where r is the organic group.	as the electropositive nature of lithium puts most of the charge density of the bond on the carbon atom, effectively creating a carbanion, organolithium compounds are extremely powerful bases and nucleophiles.","3,2,4,4,3,2,4,3,3,4,4,4,4,4,2,3,4,3,3",3.3157894736842106
10836,1,es,the southern agreement to be brought before the people on an impressive stone viaduct which is highest (one of several such structures in the map).,"denby dale railway station serves the village of denby dale, in west yorkshire, england and the surrounding area.	it lies on the penistone line south east of huddersfield and is operated by northern rail.	opened by the huddersfield & sheffield junction railway in 1850 (which subsequently became part of the lancashire & yorkshire railway), it originally had two platforms but lost the northbound one when the clayton west junction to penistone section was singled in 1969.","1,1,2,3,3,2,3,3,2,2,3,4,4,2,2,2,3,1,1,2",2.3
10844,1,de,"in a week 12 game against the new england patriots, reed mentioned the describe as the security position if sean considine and quintin mikell not because of violations.","this led to his subsequent release and the eagles' signing of reno mahe.	however, he was re-signed within weeks to back up injured all-pro safety brian dawkins.	reed has since returned to the eagles' special teams and has resumed his role of kick returner.","2,2,2,1,2,1,3,2,2,2,3,1,1,4,4,1,3,3,1",2.1052631578947367
10860,1,cs,"in september 15, carmen achieved landfall in southern china and dispelled the following day.","carmen headed south briefly before heading east-northeast, when it began to strengthen even more.	carmen reached winds of 125 mph and a pressure of 960 mbar.	but shortly thereafter, the strengthening stopped, and it slowly weakened.","4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,3,3,3",3.6
10894,1,fr,"on the basis of 'memories of 2', the main series of gambling offers the possibility of multiple endings for each of the heroines.","the gameplay of memories off follows the style of most visual novels; the majority of time spent playing the game is spent on reading through the dialogue or story that appears on screen.	every so often, the game will pause and the player is given a chance to choose from two to five options regarding how he or she wishes to advance the game.	the plot will then branch into paths focusing on a single heroine depending on the choices that were made by the player; a conclusive character ending will be presented at the end of any given path.","4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4",3.2777777777777777
1090,1,fr,"no attempt of synthesis were made for any of metals chlor-alkali as unhexpentium, due to the large number of nuclear.","it is highly unlikely that this reaction will be able to create any atoms of ununennium in the near future, given the extremely difficult task of making sufficient amounts of 254es, which is favoured for production of ultraheavy elements because of its large mass, relatively long half-life of 270 days, and availability in significant amounts of several micrograms, to make a large enough target to increase the sensitivity of the experiment to the required level; einsteinium has not been found in nature and has only been produced in laboratories.	however, given that ununennium is only the first period 8 element on the extended periodic table, it may well be discovered in the near future through other reactions; indeed, another attempt to synthesise ununennium by bombarding a berkelium target with titanium ions is under way at the gsi helmholtz centre for heavy ion research in darmstadt, germany.	currently, none of the period 8 elements have been discovered yet, and it is also possible, due to drip instabilities, that only the lower period 8 elements, up to around element 128, are physically possible.","2,2,4,3.0,2,3,2,4,2,2,1,4,2,2,3,3,3,3,4",2.6842105263157894
10907,1,de,"it is also in the media, feng shui, different cultures and different trading venues and green dragon and avalon dragon.",the azure dragon is one of the four symbols of the chinese constellations.	it represents the east and the spring season.	it should not be confused with the mythological yellow dragon that is associated with the emperor of china.,"1,2,1,3,1,1,1,2,3,2,4,4,3,3,3,1,2",2.176470588235294
110,1,de,"in 2010, per capita income for the state of dollars 22,984.","according to the u.s. bureau of economic analysis, the 2008 total gross state product was $170 billion, or $29,411 per capita.	alabama's 2012 gdp increased 1.2% from the previous year.	the single largest increase came in the area of information.","1,1,3,3,1,3,2,3,3,2,3,1,2,2,2,2",2.125
11029,0,en,"it took the combined weight of mercury, may and taylor to persuade him.","as soon as steve howe went into the studios, mercury asked him to play some guitar (according to producer david richards, who had worked with yes in the past as well).	another version is that brian may was the one who asked him to play the flamenco bit.	when the members of queen asked if howe wanted to play on the title track, howe politely suggested they’d lost their minds.","4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4",3.7777777777777777
1105,1,fr,"a third type, called abugida or alphasyllabary, where vowels have shown by diacritics or changes to basis consonantal letters, as devanagari and other south asian paperwork.","according to terminology introduced by peter t. daniels, an ""alphabet"" in the narrow sense is one that represents both vowels and consonants as letters equally.	the first ""true alphabet"" in this sense was the greek alphabet, which was developed on the basis of the earlier phoenician alphabet.	in other alphabetic scripts, such as the original phoenician, hebrew or arabic, letters predominantly or exclusively represent only consonants; such a script is also called an abjad.","3,2,3,2,2,2,2,2,3,3,2,2,4,3,4,2,3,3",2.611111111111111
11168,1,es,the three plead before.,"the jury acquitted millard fillmore ball and convicted john c. ball and robert e. boutwell.	the convicted defendants appealed to the supreme court, which reversed their convictions in 1891, holding that the indictment was insufficient.	all three were indicted for the murder a second time.","2,4,1,3,2,1,3,2,2,2,3,4,2,4,4,4,2.0",2.6470588235294117
11183,0,en,"the government is responsible only to parliament, specifically the people ’ s assembly.","the government has a leading role in shaping the agenda of the houses of parliament.	it may propose laws to parliament, as well as amendments during parliamentary meetings.	it may make use of some procedures to speed up parliamentary deliberations.","4,3,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4",3.6
11413,1,de,"well-known american and italian artists in the 20th century, also in the collection.",the in kurashiki was the first collection of western art to be permanently exhibited in japan.	the museum opened in 1930 and originally consisted almost entirely of french paintings and sculptures of the 19th and 20th centuries.	the collection has now expanded to include paintings of the italian renaissance and of the dutch and flemish 17th century.,"3,3,3,3,3,2,2,3,3,4,2,3,2,3,4,3,2",2.823529411764706
11570,1,es,appear (the time bad that monarch was transformed into) aimed at the whole team titans attacking the heroes who were trying to undo this time of crisis.,"he created the false future world so he could train meta-humans (the team titans) to act as sleeper agent assassins.	he brought various super-powered beings from alternate realities and trained them as team titans.	he knew of the impending time crisis, and wanted a super-powered army at his command.","2,3,1,2,2,3,1,2,1,1,2,2,2,2,1,3,3,2",1.9444444444444444
11579,1,es,some of the houses are on holiday allows.,"bawdeswell is a small rural village and civil parish in the breckland district of the county of norfolk, england.	at the time of the 2011 census it had a population of 828 and an area of 487 hectares.	as of june 2012 there were 360 dwellings with some 314 in the village itself and a further 46 within the parish boundary.","2,3,3,1,2,1,2,2,1,1,1,2,1,2,2,3,2,1",1.7777777777777777
11591,1,es,in the south of the a1067 is bawdeswell garage.,"as well as the pub, bawdeswell has a village shop which used to be privately owned but is now owned by mccolls, a butcher's shop	[currently closed] and a reasonably sized garden centre.	a post office is open on tuesday & friday mornings in the church vestry.","4,4,3,3,2,3,3,4,2,3,3,3,3,4,4,2,3,3,2",3.0526315789473686
1173,1,fr,"at the end of 1978, it has also written writing 'sardor' with the writer aleksandr misharin.","during 1975, tarkovsky also worked on the screenplay ""hoffmanniana"", about the german writer and poet e. t. a. hoffmann.	in december 1976, he directed ""hamlet"", his only stage play, at the lenkom theatre in moscow.	the main role was played by anatoly solonitsyn, who also acted in several of tarkovsky's films.","2,4,2,2,1,3,2,2,2,2,4,2,1,3,3,1,2,3",2.2777777777777777
11808,1,fr,"60-60 related to the end of the regulation and 73-73 at the end of the first overtime, it was cairns which has prevailed 85-81 to send the last number one third and decide game.",the breakers met the cairns taipans in the best-of-three grand final series that was to result in one of the teams winning their maiden nbl championship (it was also the first time that both teams had made the grand final).	the breakers coasted to an 85-67 win in game 1 after leading by as much as 31 in the third-quarter.	the teams then fought out a gripping game 2 in cairns.,"3,3,3,3,3,1,1,2,2,1,2,2,3,3,2,2,3,3,2",2.3157894736842106
11894,0,en,"nevertheless the cooler component (gamma2) is more massive than gamma1 and according to the hierarchy of masses and brightness, gamma2 should be the primary star of the system.","the star is thought to have about 7 times more luminosity than the sun.	the secondary star (gamma2 delphini) is an orange subgiant star of spectral type ""k1iv"" and an apparent magnitude of 4.27.	this star is thought to have about 20.6 times more luminosity than the sun.","4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,3",3.4444444444444446
11895,1,cs,macey serves the academic advisory committee (comitato scientifico) associazione disiano preite for the study of company law (on lo studio del diritto dell ’ impresa).,"macey has taught at major universities throughout the world, including bocconi university (milan), the university of tokyo; the university of toronto; the university of turin, the university of amsterdam department of finance, and the stockholm school of economics, department of law.	he also has been professor of law at the university of chicago (1990) and visiting professor of law at harvard law school (1999).	macey is a senior research fellow at the international centre for economic research (icer) in turin, italy.","4,3,3,2,3,2,3,4,3,3,3,3,4,2,3,3",3.0
12056,1,de,"later handley, in the first concert in london, the symphony orchestra of morley college.","after graduating he worked as a nursery gardener, bricklayer and petrol pump attendant during the day, studying and conducting amateur orchestras and choirs in the evening.	he then became sir adrian boult's pupil.	during their first meeting he ""was put through the worst two hours of counterpoint and harmony that i've ever faced"" and was then asked how he would conduct a page of a score that boult put in front of him, sir arnold bax's third symphony, which handley happened to have studied.","1,2,1,2,2,2,1,2,2,3,1,3,3,1,2",1.8666666666666667
12112,1,cs,"the conducted extensive holidays in mexico, the netherlands, germany and spain for nearly three years.","laura flores had a hit single for her telenovela a grammy winning single ""el alma no tiene color	"" (""the soul has no color""), a duet with marco antonio solís.	her first taste of stardom came when she joined ""hermanos y amigos"", whose band members were her family.","2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3",2.7058823529411766
1214,1,fr,"recent studies have shown that the aardwolf probably for the whole of the family hyena right from the start, but how early is still unclear that fossil fuels and studies agreement of 10 million years.","the aardwolf is the only surviving species in the mammalian subfamily ""protelinae"".	there is disagreement as to whether the species is monotypic.	or can be divided into subspecies ""p. c. cristatus"" of southern africa and ""p. c. septentrionalis"" of east africa.","3,1,2,2,1,1,1,2,2,2,1,2,3,1,1,3,2,2,2,1",1.75
12165,0,en,"here, they recorded the more widely heard a-side.","based on the peel performance, rough trade label head geoff travis suggested that the band release the song as a single instead of the slated release ""reel around the fountain"", which had gathered notoriety in the press due to what were seen as lyrical references to paedophilia.	the smiths entered matrix studios in london on september 1983 to record a second studio version of the song for release as a single.	however, the result—known as the 'london version'—was unsatisfactory and soon after, the band travelled to strawberry studios in stockport to try again.","4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3",3.611111111111111
12302,1,fr,"finally, petraeus pleaded guilty to a misdemeanor accusations of mismanagement classified information.","petraeus relinquished command of u.s. and nato forces in afghanistan on july 18, 2011, and retired from the u.s. army on august 31, 2011.	on november 9, 2012, general petraeus resigned from his position as director of the cia, citing his extramarital affair which was reportedly discovered in the course of an fbi investigation.	in january 2015, officials reported the fbi and justice department prosecutors had recommended bringing felony charges against petraeus for allegedly providing classified information to his mistress while serving as the director of the cia.","2,3,4,4,2,3,4,4,4,3,2,3,3,4,4,3,3,3",3.2222222222222223
12359,1,cs,"previously, local time was intended astronomical comments in hong kong observatory through 6-inch lee equatorial and 3-inch transit circle.","hong kong maintains its own time authority after transfer of sovereignty in 1997.	the hong kong time () is all year round, without daylight saving observation.	greenwich mean time was adopted as the basis in 1904, and utc was adopted as a standard in 1972.","1,1,2,3,2,3,1,1,2,2,1,2,1,3,3,3,2,3",2.0
12388,1,cs,universities is known for its prestige programme pharmacies.,"the department of desalination was established on 1995 by riyad hassan el-khoudary.	the water research center is an independent non-government palestinian institution.	in the late 1990s, the university opened a school of medicine in collaboration with abu-dis university in jerusalem.","3,2,3,2,3,2,3,3,2,2,3,2,3,2,2,2,2",2.411764705882353
1242,1,fr,"while the urban towns were more technologically advanced and socially, in many cases, they could do little to a military aspect to defend against the rise of hordes of the steppe.",the center and the peripheries were mostly kept separated by mountains and deserts.	the caucasus and himalaya mountains and the karakum and gobi	deserts formed barriers that the steppe horsemen could cross only with difficulty.,"3,3,3,3,3,3,3,3,3,3,3,3,3",3.0
12458,1,de,"the use of egyptologists controversial, but the situation of these reservoirs under the sun, proposes ritual practices which shed some light on the role of this monument.","finally the last element essential to the funerary cult, the satellite-pyramid encircled in its own peribolos, is located southeast of the royal pyramid and therefore was accessible only through a corridor of stores and halls of worship.	this small pyramid covers an underground plan consisting of a short ramp leading to a single underground chamber.	in the middle of the courtyard of the paribolos, facing east and west, are two landscaped basins in the granite floor.","2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3",2.5
12627,1,de,"he complained to church but not spent, and their time helmets, drinking water, singing and dancing, after pagan rituals.","jaanipäev was celebrated long before the arrival of christianity in estonia, although the day was given its name by the crusaders.	the arrival of christianity, however, did not end pagan beliefs and fertility rituals surrounding this holiday.	in 1578, with some disgust, balthasar russow wrote in his ""livonian chronicle"" about estonians who placed more importance on the festival than going to church.","2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1",1.3125
12658,1,de,"on 22 november 545, pope vigilius celebrated the feast of the holy in the church, if the emissary of empress theodora, anthemius scribo, arrested.","tradition holds that the church was built over the house of the saint.	the baptistery associated with this church, together with the remains of a roman house of the early empire, was found during some excavations under the chapel of the relics.	by the late fifth century, at the synod of 499 of pope symmachus, the church is mentioned as the ""titulus ceciliae"".","1,3,3,3,2,2,3,2,1,2,2,3,2,2,3,1,3,3,2",2.263157894736842
12703,1,es,"when katie discovers declan had ceased its horses of the stables and on the people who get gordon adam help round of new and apology for the use of him, but its forgives and shows that do not mind as he has drawn to it.","katie is shocked to discover declan had ordered his secretary nicola king (nicola wheeler) spy on her.	later, katie walks in on declan flirting with two girls he had met at the launch, erica and helen in order to make her jealous.	katie tells him that she hates him and wanted a divorce, throwing her wedding ring at him.","1,2,1,3,1,2,2,1,1,2,2,1,1,2,3,2,2,1",1.6666666666666667
12889,0,en,he was the father of major league coach dom chiti.,"harry chiti (pronounced ) (november 16, 1932 – january 31, 2002) was an american catcher in major league baseball.	from 1950 through 1962, he played for the chicago cubs, kansas city athletics, detroit tigers and new york mets.	chiti batted and threw right-handed.","4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3",3.75
12895,1,cs,cohesion is thought bernays indicate that the existence of measurable cardinal.,"his reflection principle stated roughly that if ""a"" is a class with some property, then one can find a transitive set ""u"" such that ""a∩u"" has the same property when considered as a subset of the ""universe"" ""u"".	this is quite a powerful axiom and implies the existence of several of the smaller large cardinals, such as inaccessible cardinals.	(roughly speaking, the class of all ordinals in zfc is an inaccessible cardinal apart from the fact that it is not a set, and the reflection principle can then be used to show that there is a set which has the same property, in other words which is an inaccessible cardinal.)","2,1,1,3.0,1,3,1,3,1,1,2,1,3,2,2,2,3,1",1.8333333333333333
1290,1,de,"although the historian, in general, of the opinion that the article too weak, the fast-growing nation, you, the solution to the question of how the member states voluntarily in your country national control.","the peace treaty left the united states independent and at peace but with an unsettled governmental structure.	the articles envisioned a permanent confederation, but granted to the congress—the only federal institution—little power to finance itself or to ensure that its resolutions were enforced.	there was no president and no national court.","1,1,1,2,3,3,1,1,1,3,1,1,2,1,1,1,3,2",1.6111111111111112
12957,0,en,"the powers whiskey sponsorship is backed up by the irish branch of pernod ricard, a sponsorship existing since 1960 and the longest sponsorship in irish racing.","fairyhouse is owned by horse racing ireland (hri) and was managed by doneraile man dick sheil, a graduate of warrenstown agricultural college and ucd from 1999 until october 2006, one year after ownership passed hands from fairyhouse club ltd owing to financial difficulties.	hri viewed dick sheil as a tremendous asset to the course having brokered considerable sponsorship and managing many major meetings.	the course was overseen by a caretaker manager for almost a year and on october 1, 2007 the position was filled by chartered accountant caroline gray who had worked for the hri finance department for five years previously and was described as an ""innovator"" by hri.","4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,4",3.6875
12981,1,de,"jelly roll morton also said, written level, based on the jazzed version of the old french quadrille.","a number of veterans of papa jack laine's band said the tune had been known in new orleans as ""number two"" long before the dixieland jass band copyrighted it.	in one interview, papa jack laine said that the actual composer of the number was achille baquet.	punch miller claimed to have originated the cornet & trombone breaks with jack carey, and that from carey's characteristic growl many locals called the tune ""play jack carey"".","1,3,2,2,3,2,2,1,2,2,3,2,2,1,3,1,2,2,3,1",2.0
13021,1,es,now serves as john franklin science centre.,"dobbs was an employee of coca-cola business tycoon asa griggs candler's.	dobbs had served as coca-cola's first salesman and eventually became the advertising manager and president of the company.	this building, originally designed by atlanta architect t. j. mitchell, was renovated and added onto in 1997.","2,2,3,4,3,4,3,4,3,2,4,4,4,3,2,3,2",3.0588235294117645
13041,0,en,the supreme court of arizona upheld the argument.,"the charges included three counts of misdemeanor assault, five of contributing to the delinquency of a minor and two of indecent exposure.	the number of counts was reduced to seven when one of the victims died.	a lengthy appellate process ensued when fushek's lawyers argued that he was entitled to a jury trial on the remaining counts as opposed to one or more bench trials.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13043,1,de,this j. j. winckelmann tucked away.,"cardinal alessandro albani had another villa and park at porto d'anzio, that was finished in february 1732, but was habitable for a few weeks only in spring because of malaria.	perhaps the villa, and certainly a casina in the park were by marchionni.	excavations in the park brought to light many ancient roman sculptures.","1,1,3,3,1,3,3,1,1,2,1,2,1,2,1,3,1,3,2,2",1.85
13084,1,es,"maui survives the volcano and the islanders send through the 'test maui duckhood', that is, to win the confidence of the native people.","maui mallard is a ""medium-boiled"" detective visiting a tropical island when the mysterious shabuhm shabuhm idol goes missing.	shabuhm shabuhm is considered the island's native guardian spirit, and unless the idol is recovered, the whole island will explode.	maui is put on the case, and his investigations lead him through a creepy mansion to a native village, where maui is thrown into a volcano as a sacrifice to the native gods.","3,2,3.0,4,2,2,4,3,4,3,2,2,4,2,3,3,3",2.8823529411764706
13128,0,en,they are the largest youth employer in kugluktuk.,"the high school, through the ""kugluktuk high school athletics association"" also known as the ""kugluktuk grizzlies"", has created a non-profit, stay-in-school organization that uses sport and recreation opportunities as incentives for staying in school, and making healthy lifestyle choices.	currently, the membership has over 100 students.	through a variety of fundraisers, they provide the youth in kugluktuk with opportunities in various things such as sport and employment.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13167,1,es,"mathis played with aeroplanes until 1994, starting with two games and make four touchdowns total.","the following year, he played in all sixteen games for the jets, starting one.	he had 28 receptions for 329 yards and one touchdown.	he led the team in kickoff returns, piling up 599 yards.","2,2,3,2,3,1,2,3,3,1,2,4,3,3,3,2,3,3",2.5
13188,1,es,asch worked as director of the cva until his death in 1994.,"the cva was founded and directed by ira abrams in collaboration with barbara myerhoff.	tim asch took over as director of the cva in 1983.	in 1984, he collaborated with the usc school of cinematic arts to create the mava degree (master of arts in visual anthropology), a 2-3 year terminal masters program unique in its emphasis on both textual and visual media (film and photography) as components of an academically grounded research project.","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13310,1,es,the district lies in the southwestern corner of madhya pradesh; the narmada river forms its northern border.,"barwani district () is one of the districts of madhya pradesh state of india.	the administrative headquarters of the district is at barwani.	barwani district has an area of 3665 km² and a population 1,081,039 (2001 census).","4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13390,1,fr,following the reorganisation of the States on 1 november 1956,"the area covered by this district was part of the princely state of orchha till its merger with the indian union.	the orchha state was founded by rudra pratap singh in 1501.	after merger, it became one of the eight districts of vindhya pradesh state in 1948.","3,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,3",3.4705882352941178
13403,0,en,the most common language is malvi (rajasthani and hindi mixed).,mandsaur is rich in archaeological and historical heritage	but what makes it famous is the temple of lord pashupatinath located on the bank of shivna.	its idol has parallel only in nepal.,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4",4.0
13423,1,fr,the region is part of ujjain division.,"it is bounded by mandsaur district to the north, jhalawar district of rajasthan state to the northwest, ujjain district to the west, dhar district to the south,	jhabua district to the southeast, and chittorgarh district of rajasthan to the east.	it is divided into five tehsils and is home to 9 towns and 1063 villages (as of 2001).","4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,4",3.7058823529411766
13482,1,es,pluralism is quite inaccurate and is in fact only one building.,"like the other prudential commissions, the building is noted for its use of red architectural terracotta and brick.	it has a tower which was added to the building by the architect's son paul waterhouse in 1905.	exterior tiles between the first and second floor of the building read ""prudential assurance buildings"",","2,3,3,3,3,3,3,3,4,3,3,4,4,4,2,3,3,3",3.111111111111111
13541,1,cs,"the divisional level, divisional the development committee chaired by the prefect and violated mayors, representatives and private individuals.","planning at the national level was carried out by the ministry of planning and territorial development.	together with its various departments the ministry was responsible for planning medium and long term development.	at the provincial level,the economic service collected, centralised and handed data to the governor and the minister and also organised social development plans at the provincial planning board.","1,1,3,1,3,3,2,2,1,3,1,1,3,2,2,1,2",1.8823529411764706
13621,1,de,a local authority only belong to a common authority.,combined authorities consist of two or more contiguous english local government areas.	the creation of a combined authority is voluntary and all local authorities within the area must give their consent before it can be created.	the local authority of any district of england outside greater london can join a combined authority and a county council can become part of a combined authority even if only some of the non-metropolitan districts that make up the county are within the combined authority area.,"3,3,3,4,4,3,2,3,2,3,3,4,3,3,2,4",3.0625
13716,1,cs,this leads to gemmler retroactive payments.,"tom goes to the chemical plant to retrieve the formula, and gives it tor robert.	he in turn brings the formula to his meeting with linda and is escorted to gemmler's office.	suddenly tom appears at gemmler's office and starts arguing over the payment.","1,4,3,2,3,2,1,2,4,3,4,4,2,3,3,3,3",2.764705882352941
13907,1,es,your proposal for a court of rooms in ireland was accepted and became its first master.,"he settled in ireland about the close of the reign of queen elizabeth i, being a commissioner of plantations, and obtained very considerable territorial grants from the crown.	in 1602, parsons as surveyor general of ireland; in 1610 he obtained a pension of £30 (english) per annum for life.	in 1611, he was joined with his younger brother laurence in the supervisorship of the crown lands, with a fee of £60 per annum for life.","3,3,3,3,2,3,3,4,3,3,3,2,3,2,3,2,3,4",2.888888888888889
14000,1,es,this work has been subject to speak in the seminar bourbaki.,"the volume formula, together with number-theoretic and bruhat-tits theoretic considerations led to a classification, by gopal prasad and sai-kee yeung, of fake projective planes (in the theory of smooth projective complex surfaces) into 28 non-empty classes [21] (see also [22] and [23]).	this classification, together with computations by donald cartwright and tim steger, has led to a complete list of fake projective planes.	this list consists of exactly 50 fake projective planes, up to isometry (distributed among the 28 classes).","4,3,3,3,4,3,2,2,3,2,3,4,2,4,3,3,3,4",3.0555555555555554
